probe_name	transcript_name	function	structural	category	sub category 1	Officix7515_In1.c	Officix7515_In1.t	Officix7515_In5.c	Officix7515_In5.t	Officix7515_L1.c	Officix7515_L1.t	Robustx7515_In1.c	Robustx7515_In1.t	Robustx7515_In5.c	Robustx7515_In5.t	Robustx7515_L1.c	Robustx7515_L1.t	Spontx7515_In1.c	Spontx7515_In1.t	Spontx7515_In5.c	Spontx7515_In5.t	Spontx7515_L1.c	Spontx7515_L1.t
GS1_SS_16368_11258	SCSBRZ3117G05.g	.	.	.	Small RNA degrading nuclease 1 OS=Arabidopsis thaliana GN=SDN1 PE=2 SV=1 	9.371	10.0652	8.5913	8.8817	9.0772	9.8731	9.1598	10.1452	8.3865	8.9108	9.1432	9.7089	9.3751	10.2365	8.0603	8.4039	8.8729	9.8714
GS1_SS_18947_06930	SCSBST3100B04.g	.	.	.	Armadillo repeat-containing protein 7	10.1357	10.0843	9.1025	9.551	9.3041	9.807	9.8696	8.6215	9.1082	7.731	9.576	9.0559	9.8963	9.1936	8.7648	8.0567	9.4179	8.6925
GS1_SS_16370_13815	SCVPLB1017B09.g	.	.	.	.	12.3602	12.2432	11.1962	11.2569	11.6793	12.1889	12.2895	12.0746	11.4456	11.3024	11.8397	11.4764	12.3879	11.4958	10.925	10.2852	11.7507	10.8634
GS1_SS_16371_09107	SCSBRZ3118B10.g	Others	uncharacterized	.	Proton-coupled amino acid transporter 1; Proton/amino acid transporter 1; Solute carrier family 36 member 1	9.793	8.4725	10.1073	8.3262	11.5059	10.2009	9.6158	9.751	10.095	9.714	11.6005	11.7185	9.7746	9.2212	9.8337	8.9178	11.5379	11.9763
GS1_SS_18949_03741	SCUTST3084C11.g	Redox Metabolism	Multicopper oxidase	Cell wall	laccase-like protein			12.1304	13.1241	9.7111			6.7808	12.6261	13.0577	9.8388			8.7969	12.0504	14.6198	9.8321	
GS1_SS_16373_03603	SCSBRZ3118D10.g	.	.	.	BTB/POZ domain-containing protein At1g30440	8.1797	9.0711	6.7276	7.3269			8.1435	9.0143	6.7279	7.7793		6.6524	8.2584	8.2645		6.996		
GS1_SS_13894_13690	SCSFRT2070F07.g	.	.	.	Vacuolar protein sorting-associated protein 37C	13.0893	12.8944	13.3432	13.1012	12.8661	12.4881	13.0658	13.3371	13.3449	13.5283	12.9765	13.1744	13.0338	13.4349	13.2289	13.9104	12.8898	13.2528
GS1_SS_18956_15180	SCCCCL4015E04.g	Cell cycle	uncharacterized	Cell cycle	ras p21			7.2521	8.8485	10.4408	10.1552			7.4816	9.4216	10.636	11.2475			6.8451		10.445	10.46
GS1_SS_13893_18882	SCRFLR1012H04.g	.	.	Nucleic acid metabolism	regulation of transcription, DNA-dependent	8.6485	8.8686	8.2832	8.0444	7.982	8.4196	8.3032	8.6074	8.2948	8.6632	7.9892	8.3067	8.3513	8.3345	7.8792	8.2554	8.5357	8.2587
GS1_SS_18958_10213	SCUTST3086G08.g	.	.	.	RecName:Probable transmembrane ascorbate ferrireductase 2; AltName:Cytochrome b561-1; Short=Artb561-2; Short=AtCytb561	6.7252	6.3046					6.6806	8.9685		7.97	6.4926	8.2497	6.6848	7.8764				7.6809
GS1_SS_16374_06050	SCCCLR2003D10.g	.	.	.	Putative transcription factor BIM2; BES1-interacting Myc-like protein 2; Transcription factor EN 125; Basic helix-loop-helix protein 102; bHLH 102; AtbHLH102	12.2565	11.7805	11.7758	11.8268	9.5044	9.3192	12.1218	11.5895	12.01	11.5539	9.8366	9.4831	12.2325	12.9747	11.282	12.6871	9.6396	10.5077
GS1_SS_18935_04298	SCSGST3121E03.g	.	.	.	.	7.2681	7.8164		7.4978		6.6585	7.4849	8.1898	6.5267	6.9064	6.0604	7.1939	7.0976	8.0258	7.8305	9.1532		7.4719
GS1_AS_15049_17959	SCCCRT1002F07.g	.	.	Stress	Water stress	7.8407	8.6319	9.7509	9.1348	9.1393	9.3286	7.8055	9.3191	9.6477	9.4135	9.2432	9.6082	7.3822	9.3044	9.2	9.9792	9.0268	10.3255
GS1_SS_13920_09353	SCSFRT2072E08.g	.	.	.	TBC1 domain family member 13	11.1947	11.7695	11.2989	11.6583	10.3851	11.011	11.1061	10.9027	11.1734	11.1825	10.2911	10.5553	11.2288	11.4203	11.2138	11.6567	10.3065	11.0283
GS1_SS_13917_13749	SCCCRZ1002B01.g	Unknown	no matches	.	RecName:Protein enabled homolog; AltName:NPC-derived proline-rich protein 1; Short=NDPP-1	12.2395	13.5622	12.4905	13.7668	12.329	13.834	12.0899	11.2221	12.4035	11.9262	12.3504	12.851	12.1707	11.4031	12.3286	12.3484	12.2593	11.0634
GS1_SS_13915_03651	SCSFRT2072D01.g	Cytoskeleton and vesicle trafficking	Structural protein	.	Vacuolar-sorting receptor 1 precursor (AtVSR1) (Epidermal growth factor receptor-like protein 1) (AtELP1) (AtELP) (BP80-like protein b) (AtBP80b) (Spot 3 protein)	10.5273	10.3708	12.1567	11.8987	12.6392	12.8006	10.3546	10.1807	12.1997	11.5143	12.7406	12.665	10.543	10.8482	11.7189	11.3366	12.6201	12.5092
GS1_SS_13911_19703	SCSFRT2072A12.g	AminoAcid and nitrogen metabolism	dehydrogenase	Amino acid metabolism	Probable 3-hydroxyisobutyrate dehydrogenase, mitochondrial precursor (EC 1.1.1.31) (HIBADH)	10.6039	10.7351	10.61	10.4631	10.6593	10.0872	10.4985	10.5899	10.6294	10.3117	10.7459	10.5775	10.5698	10.3794	10.3537	10.4253	10.7591	9.9312
GS1_SS_13909_12626	SCSFRT2071H10.g	.	.	.	Serine palmitoyltransferase 2; Serine-palmitoyl-CoA transferase 2; SPT 2; Long chain base biosynthesis protein 2; LCB 2	8.2845	8.3095	8.2671	7.9834	8.8851	9.1236	8.1571	8.098	8.1405	8.0504	8.9673	9.0635	8.2832	8.0229	7.9818	7.8914	8.9546	9.0964
GS1_SS_13907_00263	SCSFRT2071F11.g	Unknown	Uncharacterized	.	Translation initiation factor IF-2	12.004	11.0501	12.0416	11.0756	11.8806	11.5952	11.8368	11.4931	11.9609	11.9471	12.2136	13.0805	11.9679	12.5915	11.8249	11.69	12.0003	12.5042
GS1_SS_13905_13177	SCSFRT2071F01.g	.	.	.	Leucyl-tRNA synthetase, cytoplasmic; Leucine--tRNA ligase; LeuRS	6.1304	6.6827		5.9508		6.9669	6.0862										6.6461	
GS1_SS_13900_11543	SCSFRT2071B06.g	.	.	.	Glycyl-tRNA synthetase 2, chloroplastic/mitochondrial; Glycine--tRNA ligase 2; GlyRS 2;	7.1774	7.2639			9.0294	9.2263	7.1773	7.4731	7.1089	7.6965	9.176	9.7241	6.9794	7.8549	6.9836	7.5723	9.2332	9.3443
GS1_SS_16380_18621	SCEQRT1029D05.g	Light harvesting	metallopeptidase	Protein metabolism	FtsH-like protein Pftf precursor	12.0348	11.7681	12.3511	11.6553	16.3751	15.872	11.8825	11.9145	12.3602	12.0884	16.5948	16.2557	11.9795	11.7673	12.246	12.4052	16.5724	16.5336
GS1_SS_18966_11406	SCUTST3087H07.g	.	.	.	.	10.5481	10.8903	11.0701	11.3342	11.7614	11.9546	10.3348	10.1297	11.0826	11.1491	11.9116	11.987	10.5606	10.9345	10.8205	11.5737	11.7781	12.0863
GS1_SS_16381_08370	SCSBRZ3119E03.g	.	.	.	.	8.3519	8.1417	8.0283	8.2877	7.8903	8.4038	8.1233	8.0672	8.0387	8.0874	7.779	8.0143	8.2339	7.0095	7.5286	7.024	7.7106	6.7995
GS1_SS_18967_08671	SCCCLR2004D04.g	.	.	.	RecName:Vegetative cell wall protein gp1; AltName:Hydroxyproline-rich glycoprotein 1; Flags: Precursor	7.1803	7.4722	7.6259	7.9089	6.8506	6.9385	6.7961		7.4149		6.8982		6.8454		7.0641		7.1667	
GS1_SS_18969_01814	SCUTST3088E02.g	.	.	.	RecName:Vegetative cell wall protein gp1; AltName:Hydroxyproline-rich glycoprotein 1; Flags: Precursor	7.3413	8.0914		6.9375		7.3981	7.0819	9.3517		8.0817	6.9419	8.7157	7.2167	6.6952				
GS1_SS_16383_13320	SCSBRZ3119F07.g	Unknown	.	.	.	7.3029		11.6206	10.7651	10.3059	9.2758	6.8632	7.3169	11.9515	10.0871	10.5459	9.3734	7.0688	7.7731	11.3628	12.5872	10.4367	10.3672
GS1_SS_18970_21585	SCEZLR1009F04.g	.	.	Transporters	(P93643) Phosphate/phosphoenolpyruvate translocator	13.5613	13.5327	14.1163	13.8009	11.9136	11.7877	13.5938	13.5852	14.171	13.8731	12.1147	11.9238	13.6027	13.726	14.0438	13.9407	12.0161	11.787
GS1_SS_18971_10319	SCJLRT1015D08.g	.	.	.	Arginine/agmatine antiporter Arginine/agmatine antiporter	11.1181	10.3341	10.9099	10.27	9.805	9.8376	11.0968	10.8887	10.8368	10.6094	9.8742	9.4239	11.1309	9.8627	10.6569	9.5155	9.8158	9.0422
GS1_SS_16386_12779	SCSGRT2065F04.g	.	.	.	.	10.6674	10.7108	10.9899	10.5699	11.0206	11.0659	10.6079	10.7936	11.0465	10.8079	11.1063	11.1445	10.769	10.7365	10.8092	10.6741	10.887	11.1165
GS1_SS_18973_09185	SCUTST3090C08.g	.	.	.	RecName:BTB/POZ and MATH domain-containing protein 1; AltName:Protein BTB-POZ AND MATH DOMAIN 1; Short=AtBPM1	6.461						6.5088						6.323	6.564				6.578
GS1_SS_16388_10353	SCRLAM1011B10.g	.	.	.	.	8.7505	8.7488	8.7713	8.5125	9.4962	9.6542	8.5677	7.9688	8.6812	8.3449	9.4079	9.0824	8.7972	8.2792	8.5004	8.4283	9.3618	9.1891
GS1_SS_18974_18896	SCCCRT2001H11.g	Signal Transduction	transcription factor	Small GTPases	ARF (ADP-ribosylation factor)		6.3476						9.8316	6.8742	10.782		8.1715		8.4261	6.6281	8.2713		
GS1_SS_16389_09885	SCJFST1016G10.g	.	.	.	Aspartic proteinase-like protein 1;	12.51	12.5665	10.3489	11.6027			12.3262	12.5072	10.3384	11.6515	6.3963	8.0149	12.4737	11.9409	9.8906	9.259		7.5037
GS1_SS_13922_01264	SCSFRT2072H11.g	.	.	.	Protein angel homolog 2	6.5534	7.3327	6.6944	7.2632	6.6989	7.3785	6.6284	7.1835	6.7883	7.2189	6.5014	6.9997	6.7005	7.225	6.5103		6.6839	6.3779
GS1_SS_18980_08848	SCJLRT2050A02.g	.	.	.	GLABRA2 expression modulator	12.5029	12.5394	12.6881	12.6782	12.1852	11.928	12.504	12.8841	12.7338	13.0458	12.2129	12.2738	12.5116	12.9104	12.6073	13.0489	12.2697	12.344
GS1_SS_16390_16900	SCSBRZ3120C06.g	.	.	Stress	Water stress	9.2073	7.769	8.3784	7.633	7.5164	6.7343	8.8769	8.8497	8.139	8.5223	7.4799	8.1247	9.034	7.8059	8.2108	7.1498	7.4727	8.143
GS1_SS_13921_13907	SCEQRT2027H09.g	Cell wall metabolism	transferase	.	Uncharacterized glycosyltransferase AGO61;			13.8985	9.6554	11.8181	9.6134			13.933	9.536	11.8819	10.4596			13.9079	9.4617	11.7424	11.625
GS1_SS_18964_01910	SCEQRT1026A08.g	Senescence and cell death	.	.	Copine-3; Copine III	11.7629	11.5822	11.5494	11.509	11.0855	11.1255	11.4299	11.3903	11.5327	11.6929	11.2556	10.8478	11.68	11.3381	11.3517	11.0761	11.2231	10.6113
GS1_SS_16378_19841	SCJFST1013C07.g	.	.	Nucleic acid metabolism	RecName:Leucine-rich repeat extensin-like protein 3; Short=AtLRX3; Short=LRR/EXTENSIN3; AltName:Cell wall hydroxyproline-rich glycoprotein; Flags: Precursor	7.6728	7.5359		7.1509	7.1056	7.336	7.6936	8.1175	7.1157	8.0907	7.2874	8.0509	7.4542	7.8691			7.0094	7.3114
GS1_SS_18965_07899	SCAGRT2039C10.g	Signal Transduction	transcription factor	.	NAC-domain containing protein	8.9887	8.7172	9.3293	8.982	9.0196	8.7696	8.5236	8.9832	9.2317	9.7082	9.2422	9.6717	8.8656	9.2787	8.8545	9.4465	9.1025	9.3527
GS1_AS_15083_00860	SCUTRZ2024G11.g	Unknown	.	.	.	7.46	7.594	6.8065	6.9585	7.0387	6.8916	7.4141		6.7281		7.2446		7.7077	6.853			7.0077	
GS1_SS_13832_18390	SCEPAM2014D05.g	.	.	Pathogenicity	R-genes	10.2571	7.9024	10.3636	7.6218	9.7866	7.4992	10.1845	11.1145	10.1982	10.7152	9.8973	9.9915	10.2805	11.3129	10.0749	10.5747	9.8124	9.6935
GS1_SS_18918_07511	SCMCST1050F07.g	.	.	.	.	11.4644	12.5266	11.924	12.9337	11.795	13.1099	12.0122	12.2548	11.7714	11.8042	11.599	11.5129	12.0867	12.4194	11.5226	11.6269	11.5068	11.2781
GS1_SS_16340_06218	SCJFRZ2033E06.g	.	.	.	Stomatin-like protein 2; SLP-2	10.7075	10.632	9.7332	9.7768	9.8	10.0534	10.3349	10.2023	9.7769	9.8354	9.8316	9.8974	10.7107	10.7774	9.6251	9.8738	9.7343	10.2747
GS1_SS_18919_10287	SCCCRZ3001H03.g	Transport	Membrane transporter	.	ABC transporter	10.6028	10.7977	10.9483	10.6722	10.9758	11.1801	10.5754	10.624	11.0878	10.5221	10.996	10.4351	10.6204	10.7478	10.6997	10.5406	11.0296	10.751
GS1_SS_13827_03910	SCRURT2012H08.g	Carbohydrate metabolism	several pathways (several putative substrates)	Cell wall	glucosyltransferase	7.9901	6.7821	9.1515	8.7042	10.4825	10.5086	7.7415	7.6373	9.1336	8.5911	10.6108	10.4777	7.7412		8.9102		10.5621	9.1734
GS1_SS_16346_04198	SCEZRT2019F03.g	.	.	.	Putative zinc metalloprotease slr1821	10.1268	9.7943	10.4868	9.4861	14.0059	13.6544	9.9423	9.4678	10.4974	9.1399	14.1458	12.4803	9.9659	9.6314	10.0249	9.1197	14.1169	12.585
GS1_SS_18921_12375	SCCCLR2C02D12.g	Light harvesting	chlorophyll binding	.	Chlorophyll a-b binding protein CP26, chloroplastic; Light-harvesting complex II protein 5; LHCB5; LHCIIc;	12.414	12.012	10.3653	9.9795	16.4428	16.6098	12.2739	11.086	11.4227	12.2881	16.4705	16.7714	12.3595	12.5457	11.8626	14.6588	16.2441	17.1557
GS1_SS_16347_16138	SCRURZ3082C11.g	.	.	Amino acid metabolism	Cysteine desulfurase, mitochondrial precursor (EC 4.4.1.-)    (HUSSY-08)	7.7567	7.9353	8.3703	8.16	9.6231	9.39	7.7134	7.9397	8.3222	7.8413	9.591	9.4397	7.7372	8.4173	7.9416	7.2041	9.5482	9.7406
GS1_SS_13825_16613	SCSGLR1025A02.g	.	.	Bioenergetics	pentose-phosphate shunt	7.6619	7.959	7.5247	7.3568	7.4784	7.0606	7.483	7.6052	7.1645	7.042	7.6493	7.5308	7.5594	7.3513	7.0412		7.4153	7.1121
GS1_SS_13824_02877	SCRURT2012E01.g	.	.	.	.	10.5192	10.8243	10.3049	10.1369	11.518	11.2315	10.5247	10.3692	10.4055	9.6617	11.5503	11.1855	10.4955	10.1825	10.1078	9.8969	11.5907	11.38
GS1_SS_18890_03350	SCRLLR1038H04.g	Unknown	uncharacterized	.	.	9.2227	10.194	9.6668	11.5291	7.9023	8.5142	9.1628	10.7002	9.7844	11.072	8.1182	8.8989	9.0881	10.231	9.3425	10.1407	7.9657	8.5285
GS1_SS_18897_11351	SCSGST3119G10.g	Unknown	uncharacterized	.	.	7.9168	8.8778		8.1269	7.1389	8.4711	8.1395	9.1296		8.1499	7.3338	9.17	8.1997	10.3687		8.3185	7.0464	9.5363
GS1_SS_16329_03104	SCCCRZ3001G10.g	.	.	.	Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 1; Beta-1,3-glucuronyltransferase 1; Glucuronosyltransferase-P; GlcAT-P; UDP-GlcUA:glycoprotein beta-1,3-glucuronyltransferase; GlcUAT-P	9.6131	9.1922	10.825	10.2581	9.598	9.8158	9.5391	9.6184	10.8053	10.8437	9.6336	10.3393	9.5993	11.0696	10.6405	11.3058	9.4086	10.332
GS1_SS_18908_00319	SCBGLR1097B08.g	Lipid metabolism	protein-protein interaction	.	Ergosterol biosynthetic protein 28		7.4081	16.7734	14.8734	8.4063	11.1713			16.5671	12.4589	8.4444	8.4789			16.6379	14.3055	8.3507	9.061
GS1_SS_18909_10682	SCSGST3120A07.g	Unknown	uncharacterized	.	RecName:Formin-like protein 6; Short=AtFH6; Short=AtFORMIN-6; Flags: Precursor	10.3323	10.4986	10.0294	10.7408	9.4132	10.3265	10.1408	9.8037	10.0276	9.9793	9.558	9.3488	9.9699	8.8317	9.7012	8.4534	9.441	7.9832
GS1_SS_16333_14735	SCJFRZ2026H03.g	.	.	Cell cycle	RNA Pol II	6.7589	7.0843			7.5054	7.569	6.8305	7.2873			7.6888	7.9634	6.471	6.9166			7.656	7.358
GS1_SS_18910_09411	SCBGLR1120G03.g	.	.	.	SS18-like protein 1; SYT homolog 1	13.0937	12.7311	13.3239	12.8255	12.3465	11.7753	13.0526	14.4816	13.2851	14.593	12.3236	13.357	13.1504	13.4499	13.2147	13.8531	12.2729	12.5901
GS1_SS_13840_03777	SCRURT2013H02.g	Others	.	.	UPF0301 protein CT0663	11.2047	10.7714	11.0221	10.7301	13.0138	12.5796	11.2628	10.1857	11.1578	10.4006	13.0885	12.0539	11.1884	10.3114	10.8924	10.1625	13.1379	12.5545
GS1_SS_16336_14051	SCRURZ3081D02.g	.	.	.	Peptidyl-prolyl cis-trans isomerase; PPIase; Rotamase; Cyclophilin; Cyclosporin A-binding protein	14.6761	15.4606	14.0632	15.2214	13.4672	14.5233	14.6423	14.2678	14.1163	14.2031	13.5633	13.6136	14.6814	14.5848	14.0503	14.2634	13.4378	13.9478
GS1_SS_16337_17285	SCCCLR1C04F11.g	Signal Transduction	transcription factor	Transcription Factor	WRKY	9.361	9.5774	10.5473	10.0633	11.0859	11.761	8.9436	8.7487	10.3707	9.6497	11.1445	11.0278	9.1469	8.6094	10.2111	9.8965	11.0798	10.4692
GS1_SS_13839_09828	SCRURT2013F10.g	Redox Metabolism	.	.	peroxidase	8.2807	8.2912	8.7823	8.1807	8.5498	9.1412	7.9945		8.5343		8.6864		8.0715		8.3364		8.5869	
GS1_SS_18912_05375	SCEPAM1018G02.g	Unknown	uncharacterized	.	RecName:Mucin-19; Short=MUC-19; AltName:Gel-forming secreted mucin-19; AltName:Sublingual apomucin; Flags: Precursor	6.04	5.9607	11.0076	10.7759	7.0374				12.201	10.9417	7.2209			7.7833	10.9582	12.95	7.1389	
GS1_SS_16338_12813	SCCCCL3080D02.b	.	.	.	.	9.0708	9.6789	7.6176	8.4272	8.7712	8.9806	8.7761	9.4067	7.5579	8.3479	8.8966	9.1113	8.9714	8.8699	7.355	7.562	8.5509	8.2778
GS1_SS_13836_09442	SCRURT2013E06.g	.	.	.	Ser/Thr-rich protein T10 in DGCR region	10.2861	10.4866	11.952	11.5594	11.4144	11.6969	10.1613	10.6283	12.0638	12.0692	11.5302	12.0578	10.2477	10.1962	11.8301	12.1508	11.4259	11.0585
GS1_SS_18916_16484	SCUTLR1058E01.g	.	.	Transcription Factor	AP2/EREBP					7.769	6.7952					7.7351	6.5426					7.4613	7.5253
GS1_SS_18932_07716	SCCCLR1076E04.g	.	.	.	Cysteine proteinase inhibitor 3; Oryzacystatin-3; Oryzacystatin III; OC-III;	14.1474	13.9649	15.3094	15.1911	14.7884	14.3506	14.1273	13.3883	15.4576	14.4285	14.8143	14.5645	14.0716	13.3649	15.5523	14.6291	14.8806	13.512
GS1_SS_16361_04737	SCCCLR2002F09.g	Signal Transduction	transcription factor	.	GATA transcription factor 14	10.647	6.4267	10.5478		10.1985		10.2438		10.3544		10.4551		10.3903	11.6421	10.0338	9.5548	10.463	10.7785
GS1_SS_13865_02461	SCCCRZ1001B09.g	Unknown	Uncharacterized	.	.	12.786	13.0145	12.7175	12.9195	12.6569	12.9995	12.924	12.8932	12.9214	13.0141	12.6945	13.4486	12.7987	12.5842	12.7319	12.7072	12.8121	13.4427
GS1_SS_18934_16082	SCQGLR2017F06.g	Phorphyrin and chlorophyll metabolism	oxidoreductase	Bioenergetics	Probable NADPH:quinone oxidoreductase 1	14.6777	14.3663	14.9076	14.9596	13.8537	13.5879	14.4601	15.3574	14.8249	15.268	14.1182	14.4264	14.4275	15.1517	14.7496	14.8561	14.0398	14.0486
GS1_SS_16362_19736	SCSBRZ3117C06.g	.	.	Transcription Factor	HSF (heat shock factor)	9.0953	8.9876	11.0473	10.1706	11.3545	11.2937	8.9803	9.7532	11.1379	10.7018	11.451	11.884	9.0343	10.5107	10.8936	11.4318	11.388	11.7898
GS1_SS_13860_18733	SCSFRT2067G11.g	Others	cytochrome P450 family proteinCell wall	Development	ripening			7.3807	6.7259		7.3565			7.2558	7.4928	6.8237	8.6768			6.9732	7.7464		7.4284
GS1_SS_13858_11494	SCSFRT2067F11.g	.	.	.	Uncharacterized membrane protein At4g09580	9.1569	8.5533	8.5944	8.4322	8.45	8.2325	8.988	8.7353	8.8251	9.1901	8.3879	9.4533	9.1037	9.5226	8.4674	8.5547	8.4243	9.0507
GS1_SS_16363_16144	SCEZRZ3088G01.g	.	.	Bioenergetics	aerobic respiration	9.1797	8.7822	8.2197	7.9992	8.464	8.4873	9.1163	8.8487	8.1645	8.314	8.3566	8.8046	9.2012	9.3313	8.0179	8.0124	8.3665	8.8646
GS1_SS_13856_11837	SCCCCL4008B12.g	.	.	.	.	11.8392	12.3438	11.9313	12.0121	11.7375	12.3596	11.8564	12.526	12.0262	12.4569	11.9824	12.9617	11.7757	11.7067	11.6995	12.3951	11.8272	12.8223
GS1_SS_13855_11702	SCSFRT2067D01.g	.	.	.	.	10.8182	11.0511	10.5508	10.2741	10.8295	10.6992	10.7058	11.6931	10.4155	11.0829	10.9256	11.6597	10.8684	11.5084	10.3571	10.9378	10.7569	11.5495
GS1_SS_13846_09689	SCRURT2014D05.g	Unknown	.	.	RecName:Atherin; AltName:Sterile alpha motif domain-containing protein 1; Short=SAM domain-containing protein 1	7.8428	6.6369	13.9287	10.9344	11.6468	10.7385	7.8648	7.1261	14.2987	10.6498	11.8338	11.02	7.7031	7.363	13.8012	11.1029	11.8457	10.4812
GS1_SS_18922_18909	SCEZRZ3016G06.g	Transport	transporter	Transporters	Sugar transporters	12.8069	12.3906	16.2495	15.0152	14.9915	14.3438	12.6885	11.1129	16.2334	14.0064	15.0444	14.2233	12.7557	11.9092	16.3584	15.4447	15.0299	14.6177
GS1_SS_16351_02354	SCVPRZ3028B08.g	.	.	.	RecName:UPF0317 protein KRH_21160			9.642	7.227				7.1221	9.6882	7.9428				7.5866	9.5408	8.0975		
GS1_SS_18923_17003	SCSGST3120A04.g	.	.	Protein kinase	undefined	12.6819	12.1939	13.961	13.4479	12.8707	12.6516	12.5377	12.3208	14.0113	13.5823	12.9448	13.1632	12.6117	13.2175	13.8886	14.0753	12.7985	12.8665
GS1_SS_18924_08302	SCSGST3120A05.g	.	.	.	RecName:Putative esterase F42H10.6	10.1733	10.3816	11.4326	11.5224	10.4606	11.0277	10.108	7.3241	11.3252	8.2275	10.3532	8.0235	10.2211	9.4724	11.2543	10.2083	10.2783	9.2448
GS1_SS_16352_09214	SCCCFL4087D09.g	.	.	.	Haloacid dehalogenase-like hydrolase domain-containing protein 3	9.5159	9.69	8.4715	8.7005	7.9609	7.6376	9.4018	9.4206	8.5865	9.1255	7.997	8.806	9.5218	9.0779	8.1946	8.4903	7.9161	8.444
GS1_SS_16353_12328	SCQGRT1039H01.g	.	.	.	Tripeptidyl-peptidase 2; Tripeptidyl-peptidase II; TPP-II; Tripeptidyl aminopeptidase	13.2448	12.6257	13.1757	12.4501	13.4401	12.8536	13.0486	13.0326	13.2396	13.0868	13.4831	13.242	13.2036	13.7411	13.107	13.3633	13.4937	13.8245
GS1_SS_18925_13603	SCCCLR1048A04.g	.	.	.	Transcription initiation factor IIA subunit 2; General transcription factor IIA subunit 2; Transcription initiation factor IIA gamma chain; TFIIA-gamma Transcription initiation factor IIA subunit 2; General transcription factor IIA subunit 2; Transcr	11.3742	11.131	10.8535	10.421	10.9369	11.317	11.2412	12.0322	10.9259	11.7084	11.0774	12.6033	11.3356	11.6499	10.6795	11.0724	11.0047	12.2642
GS1_SS_16354_18321	SCJFLR1074D02.g	Cell wall metabolism	Other glycan degradation	Cell wall	beta-1,3-glucanase Glycosyl hydrolases family 17	8.684	9.4849	12.0919	11.5977	11.6481	11.8398	9.3445	8.2537	12.5486	10.1867	11.0264	10.8925	9.0953	9.827	12.3752	12.9314	11.1721	11.2308
GS1_SS_18926_10412	SCJFRZ2005H01.g	Cell wall metabolism	Other glycan degradation	Cell wall	Pectate lyase	11.4867	11.16	11.6373	12.2354			11.2568	11.0111	11.9741	11.8655			11.3703	11.5276	11.5394	11.6409		
GS1_SS_13871_08627	SCVPRT2073G01.g	.	.	.	DNA-directed RNA polymerase III subunit RPC8; RNA polymerase III subunit C7; DNA-directed RNA polymerase III subunit H	10.717	10.8793	9.894	9.6229	11.0277	10.5087	10.751	10.622	9.7437	9.4241	11.1477	10.0229	10.6943	10.3294	9.5555	9.0453	11.1344	10.7349
GS1_SS_18927_02895	SCEPFL3080A12.g	Unknown	uncharacterized	.	.	9.1659	7.0658	9.0287	6.7947	8.6859	7.3258	9.1163		9.0623		8.8187	6.795	9.0902	8.2476	8.7474	7.7584	8.8094	8.3037
GS1_SS_13870_02675	SCJLRZ1024H10.g	.	.	.	Plasminogen-binding group A steptococcal M-like protein PAM;	13.2172	13.4352	13.0066	12.9654	12.9289	13.0925	13.2831	13.4738	13.2431	13.1056	12.5798	12.9634	13.2088	13.0707	13.0897	12.8396	13.08	13.2209
GS1_SS_16355_09858	SCEPAM1050E11.g	.	.	.	.	8.888	8.7076	9.1047	8.9035	8.7453	8.6502	8.5468	8.7365	9.2807	9.3081	9.0066	9.1478	8.7007	9.1197	9.0861	9.6001	8.8125	8.4801
GS1_SS_16357_13298	SCCCCL4006G06.g	.	.	Stress	Drought and cold response	6.167	6.2662	7.4237	6.54					7.0575					7.1262		7.093		
GS1_SS_13869_11075	SCSFRT2068H02.g	.	.	.	.	6.8786	8.942	7.2743	8.6956	6.3868	8.2329	6.5199		6.7777		6.4905						6.3594	
GS1_SS_18931_10879	SCSGST3121A01.g	.	.	.	Protein transport protein SEC23	7.0487	7.0306	6.7325				6.9767	7.2535	6.692	6.782			7.0442	7.1795	6.3001			
GS1_SS_16358_11882	SCRURZ3083G02.g	.	.	.	.	8.4028	8.1897	7.0829	6.8972			8.2022	9.5749	7.3187	8.8816		7.0216	8.3717	10.2346	6.3787	8.248	5.8119	6.695
GS1_SS_13867_12602	SCSFRT2068G06.g	Signal Transduction	transcription factor	.	MYB-like protein	8.5417	8.4533	7.4538	7.3541	8.6482	8.4084	8.3898	8.6235	7.4079	7.7306	8.1566	8.3915	8.4184	8.3384	7.2284	7.2335	8.0103	8.487
GS1_AS_15026_04191	SCSBRZ2021F12.g	Protein metabolism	.	.	Basic 7S globulin; SBg7S; Bg;  Basic 7S globulin high kDa subunit;  Basic 7S globulin low kDa subunit;	9.125	9.5424	9.2193	9.6407	9.6736	10.4388	8.5963	8.2599	9.2047	8.5916	9.644	9.8843	9.1607	10.8573	8.9165	10.8675	9.5191	11.2057
GS1_AS_20243_06993	SCSBFL1045H03.g	Transport	Transporters	.	.	8.7553	8.3377		7.6824	9.0008	8.4483	8.6221	7.7129			9.2296	8.2649	8.6795	7.3198			9.0057	7.6217
GS1_AS_14990_16797	SCCCRZ2C04B09.g	Signal Transduction	kinase/phosphatase	Protein phosphatase	serine/threonine PPM family	7.7299	8.5383	6.0141	7.2151			7.577	7.999		6.8491			7.9276	8.1226				
GS1_AS_20240_06816	SCSBFL1045F02.g	DNA metabolism	.	.	Peptide chain release factor 1 (RF-1)									6.7751	6.8259								
