probe_name	transcript_name	function	structural	category	sub category 1	3280.D.L1.C1.c	3280.D.L1.C1.t	3280.D.L1.C2.c	3280.D.L1.C2.t	3280.D.L1.C3.c	3280.D.L1.C3.t	3280.D.R.C1.c	3280.D.R.C1.t	3280.D.R.C2.c	3280.D.R.C2.t	3280.D.R.C3.c	3280.D.R.C3.t
GS1_SS_15831_05049	SCCCLR1C02H04.g	.	.	.	Multiple RNA-binding domain-containing protein 1; RNA-binding protein 19 homolog; RNA-binding motif protein 19 homolog	8.9762	8.7492	8.5494		7.9951	9.3758	9.0002	8.5735	9.117	9.6716	9.1234	9.0656
GS1_SS_15832_15689	SCRLRZ3040A11.g	Cell wall metabolism	Other glycan degradation	Cell wall	beta-1,3-glucanase Glycosyl hydrolases family 17							9.0611	9.4566	9.7787	9.3863	9.6853	9.6225
GS1_SS_18277_17348	SCVPST1061C08.g	.	.	Receptors	receptor Ser/Thr kinase	8.7528	8.5822	10.0356	8.936	9.2301	8.5732	9.9882	8.6833	8.9136	9.6951	9.0736	9.5953
GS1_SS_15835_13179	SCCCRZ3004F05.g	.	.	.	RecName:Suppressor protein SRP40	8.7701	8.8262	8.4622	9.5412	8.4717		9.1915	9.1103	9.4221	9.8742	9.5008	9.1033
GS1_SS_15817_09568	SCSGST1070A01.g	RNA metabolism	exoribonuclease	.	5-3 exoribonuclease 4; Protein EXORIBONUCLEASE 4; Protein ACC INSENSITIVE 1; Protein ETHYLENE INSENSITIVE 5	8.8474		10.2431		9.0846		11.9453	11.9037	12.823	12.6979	12.226	12.6847
GS1_SS_15820_19419	SCRLRZ3039A08.g	Unknown	RNA-binding protein	Stress	Water stress	10.5952		11.6858		10.572	11.7462	6.8972	6.8577	7.5264			
GS1_SS_18267_04770	SCVPST1060D05.g	.	.	.	.			9.9596	10.8448	8.6353		10.487	10.6062	10.7566	10.9036	10.5224	10.9153
GS1_SS_15821_13683	SCJFLR1013B11.g	.	.	.	.	11.5101	11.0738	10.6051	10.7647	10.2455	10.8224	10.5837	10.1454	10.9701	10.9815	10.8872	10.8586
GS1_AS_14034_18209	SCJFRT1059B01.g	Transport	Transporters	Transporters	(xan_ur_permease)	9.7372	9.8399	9.8259	9.8074	10.4345	10.2577	9.4891	8.6633	8.0843	8.9705	7.7796	8.0347
GS1_SS_15848_16167	SCJFRT1059C07.g	Vitamin and Cofactor metabolism	ligase	Secondary metabolism	pantoate-beta-alanine ligase	10.5035	9.792	11.5151	11.3846	9.2048	10.4219	12.0167	11.4488	12.0614	12.1211	11.7501	12.2354
GS1_SS_18284_15771	SCJFLR1073E04.g	.	.	Secondary metabolism	putative male fertility protein		9.3117	9.5196	10.4463	8.7216		9.9011	10.3245	10.5014	11.1944	10.3178	10.7422
GS1_SS_15850_21344	SCEZRZ1015F03.g	Pathogen Resistance	uncharacterized	Pathogenicity	R-genes			9.3138		8.6556		11.0661	10.612	11.3314	10.8526	11.1294	11.5134
GS1_SS_15851_19576	SCBGLR1082D02.g	Redox metabolism	.	Stress	response to oxidative stress	9.5531	9.9422	9.5369	12.5593	8.7705		11.7879	12.8675	11.6806	12.585	11.4012	11.8822
GS1_SS_18290_10630	SCVPST1062C04.g	.	.	.	RecName:Anther-specific proline-rich protein APG; AltName:Protein CEX	10.5566	10.2041	11.0948	9.7846	10.3487	10.1169	10.6392	10.0846	11.1187	10.5059	10.6105	10.5008
GS1_SS_15854_18993	SCCCST1002H06.g	Unknown	synthase	Secondary metabolism	flavonol synthase			8.1738				9.0467	9.851	9.5249	8.7773	8.8273	8.6989
GS1_SS_15855_13085	SCEQAM1038C10.g	Unknown	uncharacterized	.	RecName:Transcription factor IIIB 90 kDa subunit; Short=TFIIIB90; Short=mTFIIIB90; AltName:B-related factor 1; Short=BRF-1	12.3006	11.4063	11.9168	10.9295	11.1575	11.4503	11.2178	11.2064	11.8774	11.8389	11.6126	11.7416
GS1_SS_18293_08393	SCVPST1062G01.g	Unknown	Uncharacterized	.	.	10.6491	10.6902	10.6136	11.4647	10.2951	10.15	11.4222	11.499	11.4921	11.6441	11.3266	11.4625
GS1_SS_18278_09889	SCSGST1068C01.g	.	.	.	RecName:Uncharacterized protein DKFZp434B061	10.5503	10.4562	10.4334	11.8182	10.0062	10.3026	11.6897	11.854	12.2474	11.5971	11.981	11.3386
GS1_SS_15839_14048	SCJFRZ3C05B10.g	Unknown	uncharacterized	.	.	8.9358		9.5406	9.2957	8.5323		8.5825	9.2006	9.204	9.5728	8.7253	9.0309
GS1_SS_18280_17755	SCEQRT2093C10.g	.	.	Bioenergetics	energy pathways	11.6546	11.9133	11.2049	11.439	11.5993	12.3395	11.9862	11.3902	11.6061	11.6777	12.0172	12.1111
GS1_SS_18282_20024	SCVPST1061D08.g	.	.	Receptors	receptor Ser/Thr kinase	8.9636		9.873		8.9847		10.0165	8.8448	9.6112	9.7049	9.8577	10.4307
GS1_SS_15844_10687	SCJFRZ3C05E06.g	.	.	.	.							7.6219	7.4596	7.1335	8.1144	7.0682	
GS1_SS_18283_16067	SCVPST1061E07.g	Unknown	Uncharacterized	Protein metabolism	Lysyl-tRNA synthetase (EC 6.1.1.6) (Lysine-tRNA ligase) (LysRS)	12.4302	11.6074	12.6071	10.7923	11.3709	12.7773	10.7461	10.5999	11.1185	11.1099	10.8796	10.8986
GS1_SS_15845_14766	SCEZRZ3016C11.g	Signal Transduction	kinase/phosphatase	Protein kinase	putative RLCK	10.2382	10.2209	10.4495	10.4522	10.9606	11.1217	12.5111	13.3013	13.2497	13.9857	12.9751	13.4871
GS1_AS_14041_19022	SCJFRZ2011A04.g	Cell cycle	quinase	Protein kinase	cell cycle-related							7.3321	7.6623	7.83		8.0446	7.7606
GS1_SS_18546_13777	SCCCST3083C01.g	.	.	.	Sulfite oxidase; Moco-containing protein AtMCP; At-SO; AtSOX			8.9304		8.4115		9.4709	9.057	9.8461	10.0241	9.5355	9.9103
GS1_SS_18547_10976	SCEPLB1043F06.g	Unknown	protease	.	Aspartic proteinase nepenthesin-2; Nepenthesin-II;		10.9694	8.2874	14.056			12.2365	15.288	13.3484	14.6212	13.255	12.5926
GS1_SS_18557_11006	SCCCST3144G03.g	Unknown	uncharacterized	.	RecName:Kynurenine formamidase; Short=KFA; Short=KFase; AltName:Arylformamidase; AltName:N-formylkynurenine formamidase; Short=FKF	9.249	10.0978		11.0757	9.8499	9.5667	9.503	9.5318	9.5844	9.3761	8.9996	9.4433
GS1_SS_18560_04913	SCCCLR1076H02.g	Redox metabolism	oxidoreductase	.	Probable NADP-dependent oxidoreductase P2							6.8385	7.1765			7.0152	
GS1_SS_18542_04494	SCQGRT1045G06.g	.	.	.	Uncharacterized protein yqjG			9.7067	9.6528	8.4915		10.5393	10.2228	10.5691	11.0551	10.4076	11.0581
GS1_SS_18543_17835	SCCCRZ2001H09.g	.	.	Ubiquitination	ubiquitin-conjugating enzyme E2	13.423	13.8315	14.9665	14.0274	14.5209	13.1912	14.8512	14.8064	14.9097	15.26	14.7126	14.947
GS1_SS_18544_08508	SCACLR1126D01.g	Unknown	uncharacterized	.	.							10.3568	10.5996	10.5933	9.7429	10.1821	9.2703
GS1_SS_18545_12356	SCJFRZ2025G06.g	.	.	.	Cytochrome b-c1 complex subunit 9; Ubiquinol-cytochrome c reductase complex 8.0 kDa protein; Complex III subunit X; Complex III subunit 9	14.5183	15.0919	15.333	15.738	14.648	14.7903	15.56	15.5192	15.8675	15.4602	15.6363	14.9628
GS1_AS_19638_06426	SCBFAD1091B10.g	Unknown	uncharacterized	.	RecName:Glycine-rich protein A3				8.8352			8.3278	8.6083	7.4805	9.086	7.5588	8.0728
GS1_AS_14469_15847	SCJLRZ1019H12.g	.	.	Unknown protein	.	9.1753	9.0971	9.0089	9.7131	7.7749		8.5277	7.6107	7.1765	8.577	6.9027	
GS1_AS_19610_06700	SCBFAD1089A02.g	.	.	.	Cdc42 effector protein 1; AltName:Binder of Rho GTPases 5; AltName:Serum protein MSE55				8.2721	8.1197		8.5921	7.8031	7.4661	8.0819	7.111	
GS1_SS_16085_12578	SCMCRZ3068G10.g	Carbohydrate metabolism	several pathways (several putative substrates)	Cell wall	Galactosyltransferase		8.6799	8.1057	10.5026	9.5928	8.7598	12.2461	13.5559	12.6097	14.0364	13.0001	13.4829
GS1_SS_18578_16262	SCEZST3148D08.g	Unknown	uncharacterized	No matches	.							7.822	8.4409	8.6484	7.5743	8.477	7.7179
GS1_SS_16088_16567	SCQGLR1062B10.g	.	.	Bioenergetics	Pyrophosphate-energized vacuolar membrane proton pump; Pyrophosphate-energized inorganic pyrophosphatase; H(+)-PPase; Vacuolar H(+)-pyrophosphatase	12.5196	12.3356	13.2081	13.1788	11.8768	12.7816	13.242	14.3018	13.8785	14.3849	13.546	13.366
GS1_SS_18583_09931	SCEZST3148H10.g	.	.	.	Bark storage protein A;							10.5655	10.1547	11.1878	7.716	10.5634	10.0318
GS1_SS_18588_14955	SCEQRT1024E12.g	Cell wall metabolism	Phenylpropanoid biosynthesis	Cell wall	phenylalanine ammonia-lyase�(PAL)	15.7605	16.6288	15.8214	16.585	15.7821	14.1978	15.4461	16.1924	16.309	15.6339	15.8695	15.4426
GS1_SS_16089_11662	SCJLLR1106D07.g	Unknown	uncharacterized	.	.	10.4409	9.7221	10.5984	8.4937	11.3338	11.1909	11.8324	12.4624	12.3614	12.8742	11.6099	12.6093
GS1_SS_16090_12330	SCAGLB1069D05.g	.	.	.	BUD13 homolog	12.4046	12.4456	12.3273	12.6669	12.0438	12.3566	12.4679	11.9118	12.3814	12.5402	12.1006	12.0627
GS1_SS_16092_12084	SCEZRZ1017A07.g	.	.	.	Paladin								7.0533	7.8904	7.561	7.9928	8.3279
GS1_SS_18570_01777	SCBGAM1091F03.g	.	.	.	Putative AC transposase; ORFA									7.2425		6.6877	6.639
GS1_SS_18573_16684	SCJFLR1073H12.g	AminoAcid and nitrogen metabolism	synthase	Amino acid metabolism	putative delta l pyrroline-5-carboxylate synthetase	11.9189	13.4098	11.1126	13.828	10.7812	11.6386	9.9365	13.2499	11.8077	12.1907	11.1416	10.1031
GS1_SS_16079_06546	SCMCRZ3068E01.g	.	.	.	.									7.1446	8.3453		7.14
GS1_SS_18574_00781	SCCCLR1080H03.g	.	.	.	RecName:AMSH-like ubiquitin thioesterase 1; AltName:Deubiquitinating enzyme AMSH1							7.9854	7.8437	8.3776	8.7657	8.2147	8.0946
GS1_SS_16080_10052	SCMCRZ3068E07.g	.	.	.	.							9.6411		10.3357		9.8879	10.2215
GS1_SS_18576_21874	SCMCRZ3067A03.g	.	.	Transcription Factor	HSF (heat shock factor)			8.8646		7.9019		9.2994	9.7005	8.7825	9.3014	10.1144	10.7056
GS1_AS_19639_02197	SCCCRT2001G07.g	Others	.	.	RecName:MAU2 chromatid cohesion factor homolog; Short=MAU-2; AltName:Cohesin loading complex subunit SCC4 homolog	9.5588	9.3471		9.5077	9.1514	9.8183	9.3798	8.8423	8.7759	8.9967	8.2993	8.31
GS1_SS_18503_18764	SCUTST3152C08.g	.	.	Calcium metabolism	calmodulin	11.3782	11.0565	11.7649	12.639	11.8742	10.3894	9.1468	9.1996	8.303	7.6581	8.8603	8.5594
GS1_SS_18505_19852	SCQSLR1018D02.g	Carbohydrate metabolism	aldolase	Bioenergetics	glycolysis	9.5099		7.953		11.8836	10.1391						6.2356
GS1_SS_18508_15468	SCBGST3105A06.g	Carbohydrate metabolism	kinase/phosphatase	Carbohydrate metabolism	Pentose phosphate pathway	15.8212	15.4673	16.0501	12.253	15.7802	15.9776	7.5931	6.5989	7.2531	7.6378	7.2944	7.337
GS1_SS_18514_08363	SCBGST3106F01.g	.	.	.	Fimbrin-like protein 2					8.6422		8.7104	8.9093	8.3011	9.2881	8.7027	8.4905
GS1_SS_18516_05876	SCJLRT1017E09.g	.	.	.	T-complex protein 1 subunit delta (TCP-1-delta) (CCT-delta)							7.9796	7.9953	9.2743	8.5838	9.3899	8.6544
GS1_SS_18521_15637	SCCCLR1C01H02.g	.	.	Protein metabolism	Peptidyl-prolyl cis-trans isomerase TLP20, chloroplast precursor (EC 5.2.1.8) (PPIase) (Rot	14.7061	14.172	14.8806	12.9908	14.2857	15.6578	13.0495	13.0457	13.3406	13.5649	13.2982	13.1638
GS1_SS_18498_20740	SCQSLR1090G03.g	.	.	Carbohydrate metabolism	Carbon fixation	12.3024	11.7817	12.7287	10.2877	12.7312	13.1687	9.5852	9.9598	10.6078	10.5934	10.9827	10.6397
GS1_SS_18500_05473	SCBGST3104A04.g	.	.	.	Putative steroid-binding protein 2; AtMP2							8.1759		7.9513	7.5829	7.6638	8.4128
GS1_AS_19531_00423	SCEZAD1080A04.g	Carbohydrate metabolism	dehydrogenase	.	Glycerate dehydrogenase; GDH; NADH-dependent hydroxypyruvate reductase; HPR	9.8544		9.2432		8.4791	9.0703						
GS1_AS_19518_05151	SCSBSB1096E07.g	Unknown	.	.	.			8.5815				8.1859	8.1536	9.125	8.7736	8.7058	8.6553
GS1_SS_18528_19251	SCCCLR1C02A02.g	.	.	Protein metabolism	Eukaryotic translation initiation factor 5A (eIF-5A) (eIF-4D)	15.0524	15.4375	16.1995	16.077	15.0651	14.8088	15.9934	16.1218	16.1436	16.2328	15.9395	15.7316
GS1_SS_18531_01863	SCBGST3110C10.g	.	.	.	.	11.8733	11.9705	12.1906	11.4482	11.7889	11.6139	12.1289	11.6289	13.0341	12.5469	12.6197	12.2508
GS1_SS_18534_11390	SCRFAM1026D12.g	.	.	.	.				10.2092	8.2977		8.2748	8.6823	9.3481	8.4284	8.9125	8.5695
GS1_SS_18535_09005	SCBGST3111B12.g	AminoAcid and nitrogen metabolism	.	.	Aspartokinase 1, chloroplastic; Aspartate kinase 1;							7.3911		7.5508		8.8971	8.8436
GS1_SS_18536_09986	SCVPHR1094H06.g	Unknown	uncharacterized	.	RecName:Protein EGG APPARATUS-1; AltName:ZmEA1	13.3459	13.0096	13.8216	9.471	13.3099	13.8868	16.4808	14.9218	15.5327	14.1503	15.8995	15.6888
GS1_SS_18537_11660	SCSBRZ3125B01.g	Unknown	uncharacterized	.	Cysteine-rich receptor-like protein kinase 28; Cysteine-rich RLK28;				9.6413			9.8041	10.4748	10.7378	11.0525	10.194	10.4118
GS1_SS_18539_07062	SCRFST3145H11.g	Signal Transduction	receptor	.	Probable gibberellin receptor GID1L3; GID1-like protein 3	10.775	11.8085	9.6615	9.7785	10.9488	9.4266	11.9388	11.1096	11.1198	11.9893	12.088	13.1466
GS1_SS_18523_04444	SCRLFL1008B03.g	.	.	.	Vacuolar protein 8							8.4267	8.3287	9.3577	8.7726	9.508	8.8457
GS1_SS_18525_16306	SCSGAM2079F04.g	.	.	Cell cycle	Serine/threonine protein phosphatase PP2A catalytic subunit (EC 3.1.3.16)	10.6755	10.5435	11.5336	11.3367	10.7514	9.7104	11.4828	11.2369	11.7894	11.8516	11.3388	11.2016
GS1_SS_18527_00072	SCVPCL6041F07.g	Others	membrane proteins	.	Uncharacterized membrane protein At1g06890		9.2683			9.4899	8.5693	11.3946	11.9026	12.3159	11.6627	12.4306	12.1547
GS1_AS_19585_06539	SCVPCL6039C04.g	Transposable element-related	.	.	.								7.086	7.4699	8.3659	7.7478	7.9445
GS1_AS_19569_21866	SCSBAD1083F08.g	.	.	Stress	DNA repair	9.1254	8.7785										
GS1_AS_19478_03212	SCRLAM1011A01.g	.	.	Receptors	Receptor Ser/Thr kinase-unclassified	11.2117	11.0132	10.0165	11.0633	8.9417	9.4976	8.6603	7.3886	7.1783		8.0319	8.0451
GS1_AS_19494_00964	SCEQAM1041H02.g	Unknown	.	.	.		8.2692	8.1839	8.7278			7.4373		6.7892	7.0591	6.3856	6.7203
GS1_AS_19496_05468	SCJFLR1073A02.g	.	.	.	Uncharacterized protein ycf23		8.2366	8.703	9.2014			7.7957	7.8378	7.2312	7.6219	6.98	7.3323
GS1_SS_13727_21515	SCCCRZ2001H04.g	.	.	Protein metabolism	60S ribosomal protein L7A	15.0934	15.8159	16.1144	14.8614	15.2136	15.5252	16.0397	15.8827	16.5288	15.9653	16.4655	15.7403
GS1_SS_13721_09027	SCQSRT2035D04.g	.	.	.	Ankyrin repeat-containing protein At5g02620	10.8377	10.6519	9.8032	10.9169	8.9448	9.1914	8.6827	7.5534	8.312	8.9176	8.6819	8.4273
GS1_SS_13715_08596	SCQSRT2034F03.g	Lipid metabolism	.	.	RecName:Triacylglycerol lipase SDP1; AltName:Protein SUGAR-DEPENDENT 1	11.1217	11.6045	10.564	13.1531	10.2574	10.1548	11.6045	12.3574	11.4826	11.8306	11.3225	11.7403
GS1_SS_13714_19154	SCJLRT1019F05.g	Cell wall metabolism	Other glycan degradation	Cell wall	beta-1,3-glucanase Glycosyl hydrolases family 17	9.0847	10.1293	9.6306	13.9459	10.226	10.5401	12.4372	14.3453	12.9118	14.5977	13.2586	13.7358
GS1_SS_13713_19063	SCQSRT2034B05.g	Others	cytochrome P450 family protein	Stress	Cytochrome P450							8.7143	10.0483	8.8466	10.5049	7.9926	8.8706
GS1_SS_13712_19065	SCCCLB1023A12.g	.	.	Protein metabolism	Proline iminopeptidase (EC 3.4.11.5) (PIP) (Prolyl aminopeptidase) (PAP)	11.5782	11.8501	12.0301	12.8823	11.7503	11.6647	12.4139	13.2644	12.8058	12.812	12.5651	12.3221
GS1_SS_16203_08042	SCCCLR1080F10.g	.	.	Two component	Response regulator (arr-like)				8.5462			8.2079	7.4718	8.2671	8.8568	7.5745	8.6028
GS1_SS_16206_10830	SCCCLR2003G10.g	Signal Transduction	calcium-binding	Calcium metabolism	RecName:Probable calcium-binding protein CML35; AltName:Calmodulin-like protein 1; AltName:Calmodulin-like protein 35	9.4861	10.1586	9.3624	11.9479	10.1047	8.9314	11.3363	11.0673	11.6029	12.9227	11.2414	12.0326
GS1_SS_16207_15512	SCRFRZ3058E06.g	.	.	Receptors	RSTK							8.6889	9.9456	9.8469	10.1457	9.8005	10.5786
GS1_SS_16208_00993	SCRFRZ3058E08.g	Others	dehydrogenase	.	Probable NADH dehydrogenase	11.0355	12.1074	10.772	14.3493	11.744	11.359	12.6501	13.4615	12.9905	12.8033	13.157	12.5951
GS1_SS_16215_11473	SCRFRZ3058H06.g	.	.	.	Probable E3 ubiquitin-protein ligase rbrA; Ariadne-like ubiquitin ligase								7.1547	7.6092	8.2275	7.5684	8.0744
GS1_SS_16217_10291	SCRFLR1034D01.g	DNA metabolism	helicase	Stress	Drought and cold response	11.2262	11.2996	11.1081	10.2531	10.8448	11.3652	11.6489	11.6837	12.1341	11.6242	11.9959	11.7186
GS1_SS_16199_14815	SCCCRZ2001D06.g	.	.	Bioenergetics	ATP synthase subunit beta, mitochondrial;	11.7603	12.2409	11.4565	12.3168	11.1772	12.1443	11.8311	11.8552	12.6414	12.3807	12.5212	11.7285
GS1_SS_16201_17961	SCRURZ3080F11.g	.	.	No matches	.	12.6274	11.2578	11.4534	8.6869	10.8562	10.7841	10.5415	9.8223	11.1579	10.3522	10.0259	10.7019
GS1_SS_16202_10679	SCCCRT2001E04.g	.	.	.	Glyoxysomal fatty acid beta-oxidation multifunctional protein MFP-a [Includes: Enoyl-CoA hydratase/3-2-trans-enoyl-CoA isomerase/3-hydroxybutyryl-CoA epimerase 3-hydroxyacyl-CoA dehydrogenase ]							11.0612	11.4642	11.7779	9.6866	11.1508	10.5117
GS1_SS_13710_15516	SCQSRT2033G09.g	Cell wall metabolism	Other glycan degradation	Cell wall	endo-1,4-beta-glucanase Glycosyl hydrolase family 9		8.7555		10.4286			11.0524	12.725	12.8639	12.2415	11.9625	11.6225
GS1_SS_13709_08578	SCEPLB1042E05.g	Signal Transduction	transcription factor	.	Zinc finger protein NUTCRACKER	14.1951	14.4566	14.3845	14.7704	14.7204	14.4827	14.541	14.0043	14.3652	15.0782	14.0426	14.2131
GS1_SS_13743_10322	SCQSRT2036D02.g	Lipid metabolism	Transferase family	.	.	8.7973		9.1148	10.3964	8.4316		8.9526	9.6143	9.4281	10.1884	9.3844	9.4764
GS1_SS_13741_09161	SCQSRT2036C11.g	Others	oxidase	.	Probable sarcosine oxidase	12.6443	12.6998	13.0678	12.9451	12.6341	12.3699	11.8384	10.7949	12.5794	9.6771	11.8209	11.0955
GS1_SS_13739_19694	SCAGLR1043C02.g	.	.	Stress	drought and cold response	14.3013	14.7684	15.4857	14.5135	15.7728	14.3764	16.0976	16.1881	16.388	15.9053	16.5699	16.521
GS1_SS_13736_05380	SCRUSB1063D08.g	.	.	.	Aminoacylase-1; N-acyl-L-amino-acid amidohydrolase; ACY-1	11.443	11.0497	11.9789	11.8305	11.5285	11.2127	12.196	12.4709	12.6702	12.5821	12.4237	12.5222
GS1_SS_13735_12636	SCQSRT2035D11.g	Unknown	uncharacterized	.	.		8.711	8.4394	11.5529	8.9932		9.9463	10.6523	9.834	10.5044	9.8832	10.3123
GS1_SS_16225_20539	SCRLRZ3039A02.g	.	.	Carbohydrate metabolism	6-phosphofructokinase (Pyrophosphate--fructose-6-phosphate 1-phosphotransferase)							8.89	9.4516	9.7691	9.7207	9.4056	9.1541
GS1_SS_16229_09363	SCCCRT2002H08.g	Others	peroxidase	.	Probable L-ascorbate peroxidase 3; OsAPx03							8.6155	9.5379	7.621	10.5384	9.2292	8.9659
GS1_SS_16230_17414	SCEZRZ1016H12.g	Cell wall metabolism	Phenylpropanoid biosynthesis	Cell wall	isoflavone reductase/pinoresinol reductase (lignan biosynthesis)							7.0859	8.2623	7.1675	9.4729		7.8132
GS1_SS_16236_12202	SCEZLR1052D09.g	Others	uncharacterized	.	Sperm-associated antigen 1; Infertility-related sperm protein Spag-1; HSD-3.8								7.5677	7.5286		7.2951	7.2667
GS1_SS_16219_21289	SCJLLR2020G03.g	.	.	Stress	Water stress	13.0321	12.2702	13.0284	11.8568	13.6324	13.713	13.1838	13.6091	13.403	14.0909	12.8921	13.6273
GS1_SS_16221_19068	SCRFLR1012E06.g	Carbohydrate metabolism	kinase/phosphatase	Carbohydrate metabolism	Fructokinase	10.0446	11.4426	10.9042	13.2147	10.9518	10.92	13.0308	13.6601	13.6368	12.8551	13.439	13.1275
GS1_SS_16222_07773	SCRFRZ3058E03.b	Redox metabolism	uncharacterized	.	Abscisic acid 8-hydroxylase 1; ABA 8-hydroxylase 1; OsABA8ox1; Cytochrome P450 707A5 Abscisic acid 8-hydroxylase 1; ABA 8-hydroxylase 1; OsABA8ox1; Cytochrome P450 707A5	8.47	9.2832	8.5848	9.7544	8.3435		11.2203	11.115	11.5495	14.1106	10.843	12.3458
GS1_SS_16223_13673	SCSBAD1084F12.g	.	.	.	.	11.3129	10.5461	10.2141	10.2599	10.1509	10.7401	10.0774	9.6614	10.33	10.0749	9.8656	10.2713
GS1_SS_13730_16876	SCCCLR1072A11.g	.	.	Carbohydrate metabolism	Feruloyl esterase A precursor (EC 3.1.1.73) (Ferulic acid esterase A) (FAE-III) (Cinnamoyl	7.9952		7.7857	10.752			7.8488	8.2418	8.2838	7.9648	7.9397	7.8952
GS1_SS_13729_16065	SCUTLR1037G10.g	Carbohydrate metabolism	dehydrogenase	Carbohydrate metabolism	Pentose phosphate pathway	11.7447	11.9014	13.8781	11.6102	12.0254	10.1805	14.1242	13.9888	14.9198	14.9429	14.2817	14.3914
GS1_SS_13683_17635	SCQSRT2031H06.g	Signal Transduction	protein-protein interaction	Stress	Water stress		10.6115		11.9681			10.2259	17.3697	10.1854	17.69	8.0357	12.1759
GS1_SS_13682_00029	SCQSRT2031G08.g	.	.	.	Putative ribonuclease H protein At1g65750					8.3362	8.924		7.356				
GS1_SS_13681_00649	SCSGLR1025C01.g	.	.	.	Splicing factor 3B subunit 3; Spliceosome-associated protein 130; SAP 130; Pre-mRNA-splicing factor SF3b 130 kDa subunit; SF3b130								7.1698	8.1925	8.1774	7.9989	8.4007
GS1_SS_13673_21091	SCEZRZ1013F09.g	.	.	Protein kinase	SNF-like kinase	11.7177	11.7318	13.0284	12.1882	12.0615	10.8468	12.9042	12.8962	13.4193	13.3422	13.0688	13.1846
GS1_SS_13671_08629	SCJFRZ2005A01.g	Unknown	uncharacterized	.	RecName:Abscisic acid receptor PYL8; AltName:ABI1-binding protein 1; AltName:PYR1-like protein 8; AltName:Regulatory components of ABA receptor 3	11.3894	12.2772	13.2895	11.5802	11.1741	10.9445	12.8389	11.5733	12.8808	11.7578	12.3691	12.8131
GS1_SS_18687_13647	SCAGRT3047G04.g	Unknown	uncharacterized	.	.	12.064	12.0479	13.9002	12.2088	11.9326	9.5904	13.2231	12.3103	13.0617	9.5071	12.5846	12.2003
GS1_SS_18688_11891	SCQSST3114H02.g	.	.	.	Zinc finger CCCH domain-containing protein 45; OsC3H45	9.848	9.6714	10.0787	10.0098	9.2043	9.236	10.2806	10.1898	10.6722	11.1538	10.5749	10.7501
GS1_SS_16172_18754	SCEZLB1008B10.g	.	.	Carbohydrate metabolism	Aminosugars metabolism	9.9488	10.3455	10.5142	10.9713	9.8924	9.8665	11.4441	11.6736	11.9953	11.7719	11.7141	11.7153
GS1_SS_18695_08828	SCQGST1032H01.g	.	.	.	Aspartic proteinase nepenthesin-2; Nepenthesin-II;	10.5125	10.4604	10.5295	9.6281	9.8887	9.3909	7.3709		6.7322	7.5017	7.1229	6.8091
GS1_SS_18696_08650	SCCCST1002F09.g	.	.	.	RecName:Protein IRX15-LIKE		8.046	8.3122	11.4767			10.7704	11.1225	11.8741	10.432	11.172	11.1486
GS1_SS_16175_18631	SCRFRZ3055C09.g	Signal Transduction	kinase/phosphatase	Receptors	receptor Ser/Thr kinase							9.1778	10.052	10.3558	9.6733	10.097	9.5861
GS1_SS_18697_01270	SCJFRT1008C02.g	.	.	.	WW domain-containing oxidoreductase	12.2458	12.4757	13.7278	13.499	12.8727	12.2065	13.0899	12.9536	12.7128	13.4381	12.6998	12.839
GS1_SS_13688_15846	SCACLR1036E03.g	.	.	Calcium metabolism	calreticulin	10.4977	10.3181	12.1834	10.2325	10.6863	10.2365	12.6286	12.3054	12.7878	12.0191	12.7371	12.9811
GS1_SS_18698_14966	SCQSST3116H07.g	.	.	Transporters	K+ potassium transporter								7.4451	7.8574	7.9305	7.6196	7.4773
GS1_SS_16181_09065	SCRFRZ3055F03.g	Unknown	uncharacterized	.	Chemocyanin precursor (Basic blue protein) (Plantacyanin)			8.8821	13.5966		8.0988	12.4145	12.2888	12.5319	9.902	12.2644	11.6238
GS1_SS_13686_04880	SCQSRT2032B12.g	Unknown	uncharacterized	.	.								6.7573	7.8185	7.5816	7.5033	7.2106
GS1_SS_18679_10261	SCEPCL6029G01.g	.	.	.	Peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase A; PNGase A; Glycopeptide N-glycosidase; N-glycanase;  Peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase A light chain; PNGase A small chain; PNGase A subunit B;  Peptide-N4-(N-acetyl-							8.3191	8.5666	9.4925	8.9931	9.1425	8.5618
GS1_SS_16167_06632	SCEQRT2093C02.g	AminoAcid and nitrogen metabolism		.	P-protein [Includes: Chorismate mutase (CM); Prephenate dehydratase (PDT)]				9.3634			10.1444	11.3085	11.519	11.5574	11.283	11.5423
GS1_SS_18681_12592	SCCCCL3001D12.g	Unknown	uncharacterized	.	.	8.8982	8.9954	9.9418		9.9628	9.1147	11.3422	12.5363	11.4779	13.3222	11.1648	11.6646
GS1_SS_13707_13344	SCEZFL5086H11.g	Unknown	uncharacterized	.	.	9.4363	9.1097	9.5146	9.2983	9.1588		9.6849	10.2962	10.3651	11.1501	9.9868	10.3296
GS1_SS_13704_06370	SCCCRZ2C04B02.g	.	.	Carbohydrate metabolism	N metabolism	10.9484	11.6709	12.987	12.9842	12.0738	10.6971	13.1159	13.4301	13.5993	13.6331	13.5412	13.2108
