probe_name	transcript_name	function	structural	category	sub category 1	Circadian_24h.c	Circadian_24h.t	Circadian_28h.c	Circadian_28h.t	Circadian_32h.c	Circadian_32h.t	Circadian_36h.c	Circadian_36h.t	Circadian_40h.c	Circadian_40h.t	Circadian_44h.c	Circadian_44h.t	Circadian_48h.c	Circadian_48h.t	Circadian_52h.c	Circadian_52h.t	Circadian_56h.c	Circadian_56h.t	Circadian_60h.c	Circadian_60h.t	Circadian_64h.c	Circadian_64h.t	Circadian_68h.c	Circadian_68h.t
GS1_SS_17370_13714	SCCCAD1001D11.g	.	.	.	.			6.3591	6.2995	6.4818	6.3302			6.6277	6.3144	6.5043	6.643	6.571	6.8087			5.8515	5.9006	6.9897	6.8928				5.8575
GS1_AS_22551_21728	SCJFFL3C02F09.g	Unknown	no matches	No matches		7.1648	7.1604	7.963	7.7553	7.8434	8.0073	7.4567	7.4468	7.88	7.7426	7.7814	8.0806	7.8209	7.9701	7.5942	7.6244	7.6303	7.8286	8.1005	8.0335	7.5979	7.5039	7.7109	7.7325
GS1_AS_42053_19201	SCEQSD1076A07.g	.	.	Development	cellular morphogenesis				6.29	6.0082	6.1053				5.6743				6.0513					6.3017					
GS1_AS_17194_20402	SCAGLR2033D10.g	AminoAcid and nitrogen metabolism	Transferase family	Stress	Water stress		6.0044	6.7475	6.2829	6.3144	6.3552	6.0307		6.3657	6.2683	6.2326	6.7792	6.4828	6.536	7.0817	7.3827	5.8426	5.7485	6.0874	6.2543	5.782		5.9549	6.5243
GS1_AS_17213_17089	SCSBSB1051A09.g	.	.	No matches	.		7.1247	7.8207	7.8599	7.8621	7.6361	7.1584	7.4959	7.385	7.4205	7.6082	7.3147	7.5018	7.5155	7.9728	8.3296	7.5622	7.3664	7.6486	7.8672	7.4253	7.3253	7.5022	7.2935
GS1_AS_42094_20281	SCEZSD1082G10.g	.	.	Bioenergetics	tricarboxylic acid cycle			6.5196	6.2628	6.247	6.2639			6.7348	6.4826	7.0406	6.7046	6.8527	6.5134				5.7224	6.8512	6.4954			6.3947	6.4751
GS1_AS_42101_15031	SCEZSD1083G03.g	.	.	Carbohydrate metabolism	Mitochondrial NADP-dependent isocitrate dehydrogenase (EC 1.1.1.42)			6.7054	6.6689	6.9821	6.7457			6.767	6.3835	7.1859	7.8326	7.1317	6.4095			6.1529	5.9703	6.9486	6.9781			6.9867	7.3823
GS1_SS_17520_21423	SCCCST1002B09.g	.	.	Phosphatases	Serine/Threonine Phosphatases	12.7421	12.7404	12.7489	12.8538	12.5006	12.8176	12.9412	12.7142	12.3348	12.4526	12.4897	12.3834	12.532	12.486	12.4649	12.6579	12.6418	12.7317	12.5305	12.5159	12.7535	12.6438	12.1301	12.3174
GS1_SS_17521_20383	SCJFLR1074F04.g	.	.	Protein kinase	SNF-like kinase	8.8398	9.2424	9.4053	9.5399	9.3724	8.6493	9.0993	9.2858	8.7077	8.9904	9.3052	9.737	9.2911	9.8559	9.1923	9.2346	9.2752	9.1803	9.5633	9.3379	9.3062	9.2798	9.2806	9.3981
GS1_SS_17503_14606	SCCCLR1070E06.g	Protein metabolism	elongation factor	Protein metabolism	Eukaryotic translation initiation factor 5A-1/2 (eIF-5A 1/2) (eIF-4D)	10.4676	9.4453	10.9464	10.3605	10.7668	11.0226	10.7818	11.3813	10.7259	10.8336	10.7102	10.4637	10.7237	10.0464	10.4815	9.8664	10.7657	11.2967	10.6774	11.2766	10.6377	10.6942	10.6595	10.4328
GS1_SS_17506_18751	SCACLR2022A05.g	.	.	Protein kinase	other		6.8216	6.8087	7.0423	6.2697		6.3445	6.4456		6.1401	6.1369		6.25	6.3497	7.487	8.0353	6.3235	6.2303	6.6685	6.2641	6.3151	5.9701		
GS1_SS_17508_21351	SCCCST1004B04.g	.	.	No matches	RecName:Uncharacterized proline-rich protein	6.4832	6.7484	7.1668	7.1534	7.1173	7.2711	6.7439	6.481	6.8485	7.0023	7.0556	6.7216	7.0621	7.6079	7.5491	7.6224	6.7921	6.8335	7.2292	7.1066	6.854	6.9562	7.0785	6.8276
GS1_SS_17510_12061	SCUTLR1058D12.g	.	.	.	.	11.3902	11.5312	11.6518	11.7265	11.5861	11.5047	11.6785	11.5895	11.4243	11.4424	11.4654	11.5619	11.4699	11.473	11.1214	11.1125	11.6195	11.7012	11.2453	11.4493	11.5091	11.6347	11.2877	11.1425
GS1_SS_17511_10748	SCCCST1004C07.g	Cell wall metabolism	cell wall growth/extension	Cell wall	Expansin					6.1073								6.0422	5.7391					6.5619	6.5361				
GS1_SS_17513_09918	SCJFRZ1007H05.g	Unknown	Uncharacterized	.	.	9.3623	8.4096	9.802	8.8904	9.6979	10.4152	9.4687	10.2953	9.4005	9.8273	9.7109	8.7554	9.5992	8.5915	9.4805	8.709	9.6501	9.6499	9.7918	9.9773	9.5355	9.8772	9.9185	9.6939
GS1_SS_17516_12114	SCCCST1004F02.g	.	.	.	Paramyosin	7.6302	7.7115	8.2885	8.112	8.1504	8.1523	8.0534	7.9867	7.8874	7.9862	7.7313	7.3636	7.862	7.8349	8.1678	8.2074	8.0464	7.9579	7.8868	7.9148	7.931	8.1934	7.7614	7.2322
GS1_SS_17517_11707	SCCCST1004F07.g	Pathogen Resistance	induced by biotic and abiotic stress and hormone	Cell wall	chitinase	7.2701	7.0425	7.5877	7.2683	7.6946	8.0348	7.4447	8.0007	7.4039	7.6152	7.5044	7.0714	7.2919	7.2415	8.0298	7.6342	7.561	7.7461	7.5929	7.8195	7.5129	7.5726	7.5009	7.208
GS1_SS_17542_10973	SCCCST1007B01.g	.	.	.	.	7.3507	7.4361	8.3419	8.1247	8.2117	7.9429	7.8374	7.7914	7.9605	7.6551	8.0285	7.4838	8.1543	7.9735	8.0959	8.2493	8.2298	8.0687	8.0226	8.1263	7.8284	7.8962	7.9557	7.7139
GS1_SS_17527_20678	SCCCLR1024G01.g	.	.	Amino acid metabolism	Alanyl-tRNA synthetase	13.524	13.4649	13.8855	13.6876	13.657	13.7758	13.7459	13.6636	13.6355	13.6544	13.5782	13.6319	13.721	13.5862	13.2212	13.2603	13.6887	13.592	13.5577	13.5768	13.6533	13.6241	13.3225	13.2618
GS1_SS_17528_18278	SCCCST1005F04.g	.	.	Amino acid metabolism	amidase family protein		6.538	7.1419	7.166	7.0765	7.0426	6.5467	6.8681	6.5897	7.0945	7.1575	7.2095	7.123	7.1461	7.5005	7.4113	6.6904	7.0717	7.1997	7.2646	6.7167	6.9463	7.0455	7.0408
GS1_SS_17529_05293	SCCCST1005F07.g	.	.	.	Translation initiation factor IF-2 Translation initiation factor IF-2 Translation initiation factor IF-2				6.338	6.191	6.5553			6.2287	6.2676	6.0817	6.4117	6.5289	6.3722				5.4834	6.8338	6.4497				
GS1_SS_17537_12633	SCCCST1006G02.g	.	.	.	Probable UDP-glucose:glycoprotein glucosyltransferase A;	11.2161	10.7731	11.7361	11.4689	11.5826	11.9177	11.3316	11.4924	11.5609	11.6224	11.787	11.59	11.5552	11.4782	11.129	11.1117	11.6853	11.7568	11.3598	11.4038	11.3127	11.486	11.7107	11.7177
GS1_SS_17538_13933	SCCCST1006G04.g	.	.	.	Translin-associated protein X; Translin-associated factor X	10.5435	10.2591	10.9169	10.4372	10.8328	10.8099	10.7244	11.5397	10.6036	10.76	10.6967	10.8854	10.6139	10.3466	10.5355	9.9127	10.8668	10.7922	10.6324	10.9414	10.6791	11.0029	10.6792	10.4066
GS1_SS_17540_09991	SCCCST1006H04.g	.	.	.	4,5-DOPA dioxygenase extradiol-like protein	6.9558		7.0042	7.2994	7.46	7.2106			7.4041	7.8717	7.5998	7.4483	7.6127	7.637	7.3186		6.713	6.3241	7.9734	7.637	6.3213	6.2569	7.1678	7.2373
GS1_SS_17541_04971	SCCCST1007A07.g	.	.	.	.	9.2536	9.2646	9.6873	9.8264	9.4343	9.6994	9.5365	9.6896	9.5566	9.3688	9.6445	9.5422	9.4149	9.6043	9.5288	9.4777	9.5311	9.6918	9.4108	9.5071	9.4124	9.3646	9.2409	9.1015
GS1_SS_17522_13407	SCEQRT2025G02.g	.	.	.	Monothiol glutaredoxin-S10;	12.066	12.2316	12.1142	12.3758	11.928	12.152	12.3015	12.2409	11.6264	11.9262	12.0476	12.2602	11.82	11.9169	11.6426	11.7896	12.0254	12.0802	11.7946	11.642	12.1184	11.9765	11.509	11.7806
GS1_SS_22788_05930	SCQSFL3037H04.g	.	.	.	.			6.1966	6.4027	6.3389	6.162			6.4611	5.8834	6.5978	6.1974	6.4435	6.5391			5.7995	5.5211	6.681	6.6411			6.0308	6.3922
GS1_SS_22786_08398	SCVPRZ2043A04.g	.	.	.	Uncharacterized protein LOC284861	7.9962	8.0091	9.0441	9.1604	9.256	9.2546	7.6853	8.1765	9.0023	9.1766	9.2433	9.1184	9.1973	8.9255	8.5159	8.3356	8.7481	8.7388	9.536	9.5967	8.2436	8.5375	8.8392	9.086
GS1_SS_22791_13957	SCQSFL3037G09.g	DNA metabolism	.	.	.	11.5824	11.4605	11.7214	11.3642	11.5306	11.4053	11.7702	11.7695	11.6296	11.5115	11.6132	12.2131	11.4089	11.6328	11.46	11.3754	11.584	11.5629	11.3084	11.4629	11.5463	11.7294	11.5738	11.0709
GS1_SS_22789_10414	SCRFFL5036C12.g	.	.	.	.	10.1027	10.1534	10.3902	10.3806	10.1551	10.2405	10.2675	10.5601	10.0596	9.9736	10.295	10.2916	10.1198	10.0789	10.0495	10.0385	10.2682	10.2173	10.0186	9.9363	10.2943	10.3231	9.9167	9.9022
GS1_SS_22792_13069	SCVPRZ2042F06.g	.	.	.	.			5.5892	5.4286	5.6021								6.5397	5.829					6.5372	6.1288				
GS1_SS_22801_06198	SCQSFL3038D09.g	.	.	.	Acyl-protein thioesterase 2; Lysophospholipase II; LPL-I	8.2547	8.6644	9.2943	9.5044	9.5457	9.4655	7.8681	8.0432	9.2772	9.0836	9.8471	9.96	9.3553	9.4514	8.7847	8.8819	8.8366	8.7398	9.741	9.6204	8.6365	8.5811	9.4148	9.634
GS1_SS_22796_07337	SCCCRZ1001F03.g	.	.	.	UPF0326 protein At4g17486	8.3151	8.9213	8.7548	8.6255	8.4341	8.0775	8.5054	8.1075	8.7973	8.5813	8.8629	9.2217	8.4888	8.7945	8.6553	8.2609	8.5005	7.8129	8.5952	8.5527	8.4289	8.7839	8.7429	8.614
GS1_SS_22783_10331	SCQSFL3037C12.g	.	.	.	.	6.1819		7.8183	7.8089	7.7279	8.1755	6.1269	6.5396	7.8122	7.7806	7.8812	7.9975	8.261	8.1601	7.0103	6.9781	7.3208	7.2339	8.3179	8.5108	6.6383	6.7707	7.5001	7.7641
GS1_SS_00204_10283	SCEZHR1047F05.g	.	.	Chitinase-domain containing protein  	Uncharacterized protein At4g01050	10.1846	10.7332	10.2728	10.9781	10.1127	9.7842	10.6123	10.0875	9.9742	10.1016	10.135	10.5335	10.1233	10.3914	10.3006	10.4078	10.0746	9.9309	9.8598	9.6813	10.2949	10.0806	9.3712	9.8227
GS1_SS_00207_07950	SCCCLR1076H05.g	.	.	.	RecName:BTB/POZ domain-containing protein At1g63850	8.2922	8.3716	8.7832	9.0603	8.4915	8.5702	8.4257	8.3914	8.54	8.337	8.7374	8.702	8.5307	8.5398	8.2049	7.7861	8.5429	8.6286	8.4697	8.5334	8.5417	8.4214	8.5456	8.4737
GS1_SS_00208_12181	SCACLR1128H01.g	.	.	.	FYVE and coiled-coil domain-containing protein 1	13.4408	13.3317	13.5127	13.518	13.1907	13.336	13.5686	13.3921	13.0539	13.1503	13.3335	13.3174	13.1102	13.1727	13.1714	13.0915	13.3308	13.3967	13.0106	13.1007	13.3346	13.31	13.1478	13.0794
GS1_SS_00209_06867	SCBFAD1045F11.g	.	.	Receptors	receptor Ser/Thr kinase	10.1013	11.5566	10.4169	11.3833	10.185	9.3062	10.2827	9.1761	10.0755	9.8734	10.1552	9.9399	10.1419	10.892	9.814	9.9992	10.2281	9.3491	10.0224	9.425	10.0939	9.4167	9.2805	9.7417
GS1_SS_00200_10056	SCQSST1039A01.g	Unknown	uncharacterized	.	Abhydrolase domain-containing protein 5; Lipid droplet-binding protein CGI-58	9.2922	9.4154	8.9257	9.7211	9.1368	8.8527	9.3423	9.6784	8.1509	8.6984	8.3846	8.4456	8.7175	9.3145	9.5823	9.3484	9.0001	9.7071	9.1438	8.9049	9.5354	9.4674	8.703	8.4475
GS1_SS_00198_05513	SCSGHR1071F08.g	.	.	.	.	7.2093	6.6216	7.8286	6.8891	7.483	6.7751	7.4153	7.5085	7.299	7.5899	7.7185	7.3758	7.4262	8.2367	7.4264	6.6423	7.6244	8.668	7.492	7.9782	7.3067		7.8521	7.3696
GS1_SS_22806_04478	SCQSFL3039D11.b	Unknown	uncharacterized	.	.	12.4555	12.8135	13.0268	13.0692	12.795	12.7882	12.5486	12.2309	12.7143	12.6669	12.7581	12.654	12.742	12.5873	12.3746	12.5155	12.9192	12.7796	12.6842	12.8515	12.4889	12.6854	12.5016	12.4829
GS1_SS_22805_08816	SCQSHR1022H06.g	Transport	transporter	.	Probable sulfate transporter 3.4	7.5459	7.7336	8.3578	8.0737	8.1119	7.3007	7.8325	7.9175	8.6573	8.1799	8.0961	8.1926	8.2084	7.8461	7.841	7.6631	8.1006	7.5708	8.0757	8.1722	7.7465	7.8101	7.8652	7.8839
GS1_SS_22808_11054	SCRLLR1059F11.g	.	.	.	RecName:Mucin-19; Short=MUC-19; AltName:Gel-forming secreted mucin-19; AltName:Sublingual apomucin; Flags: Precursor	6.6088	6.8635	7.4443	7.5002	7.0059	6.4938	6.7626	6.9344	7.3129	7.0228	7.5364	7.9816	7.067	7.2185	7.35		6.9936	6.6224	7.0843	7.2467	6.7146	6.9274	7.2552	7.1149
GS1_SS_22813_08385	SCCCRZ1001G12.g	.	.	.	Eukaryotic translation initiation factor 2 subunit beta; eIF-2-beta; P38	11.3089	11.3224	11.5806	11.6333	11.4567	11.568	11.5508	11.4368	11.2626	11.3861	11.3178	11.4197	11.3177	11.2247	11.0531	11.0439	11.4371	11.6217	11.2806	11.4956	11.3507	11.4308	11.2157	11.0699
GS1_SS_22809_06226	SCQSFL3039A09.g	Unknown	no matches	.				6.1773	6.4151	6.0632	6.1718	5.9521		6.005	6.0777	6.2004	6.0212	6.2065	6.1758	6.2305		6.1632	6.0999		6.0888	6.0983	6.1544	6.1076	5.7591
GS1_SS_22814_12668	SCCCLR1070D08.g	.	.	.	RecName:Ctenidin-3; Flags: Precursor	13.5986	12.391	13.8112	13.0684	13.6113	14.0635	13.5742	14.3224	13.2685	13.6926	13.5605	13.0244	13.5579	12.5878	13.3773	12.9485	13.6493	14.0327	13.4649	13.8713	13.5336	13.8316	13.5963	13.2411
GS1_SS_22802_12501	SCBGSB1026H10.g	Signal Transduction	transcription factor	.	MYB-like protein			6.3449	6.6842	6.317	6.5844			6.3274	5.9641	6.0482	6.164	6.7358	7.0304			5.8069	6.2047	7.3113	7.2813	5.6345	5.2843	5.9465	5.9459
GS1_SS_22804_08394	SCJLLR1108H11.g	.	.	.	Putative aconitate hydratase, cytoplasmic; Aconitase; Citrate hydro-lyase			6.8592	6.8972	6.7795	7.2616			7.0361	7.1568	6.7437	6.8979	6.8018	6.5153			5.7264		7.0456	6.9096			6.2667	6.441
GS1_SS_22803_13796	SCCCRZ1002A10.g	.	.	.	F-box protein FBW2	11.8087	12.3062	12.1566	12.5814	11.9183	11.7384	11.95	11.1166	11.9233	11.5804	12.0851	12.2581	11.8706	12.4469	11.5289	11.8689	11.964	11.973	11.7847	11.288	11.892	11.4911	11.7063	11.6704
GS1_SS_00233_20834	SCJLRZ1023C09.g	.	.	Transporters	Sugar transporters	6.2956		7.4398	7.4505	7.228	7.3721	6.5017	6.5689	7.327	7.2286	7.3879	7.1162	7.4664	7.3824	7.7143	7.7058	7.1046	7.2541	7.7104	7.6135	6.4907	6.5158	6.6606	6.6618
GS1_SS_00229_12141	SCBFAD1046G02.g	.	.	.	Dicer-like protein 4		6.4493	6.6188	6.9888	6.7586	6.4115	5.9604		6.8079	6.3697	6.5468	6.6565	6.834	7.0541	6.822	6.9595	6.0088	5.9886	7.1818	7.0455	6.0991	6.1835	6.2055	6.19
GS1_SS_00235_06338	SCSGAD1005E08.b	.	.	.	Vacuolar protein sorting-associated protein 18 homolog; hVPS18		5.9546	6.865	7.1075	6.6925	6.7869		5.7721	6.3546	6.3456	6.769	6.2123	6.6874	6.6764	7.0324		6.3751	6.1024	6.9509	7.0724		6.0467	6.3316	6.2746
GS1_SS_00236_09118	SCEQFL5052H10.g	.	.	.	.	9.5202	9.6597	9.6615	9.738	9.5555	9.491	9.809	9.3845	9.7035	9.472	9.7319	10.3018	9.4842	9.764	9.471	9.5836	9.6201	9.6906	9.3622	9.5759	9.7381	9.6994	9.5272	9.3095
GS1_AS_23141_02710	SCBFLR1083G02.g	.	.	.	RecName:Putative transcription elongation factor SPT5 homolog 1			6.5148		6.4682	6.8681				6.5258		6.8067		6.8244				6.1343	6.9957	7.078			6.9102	6.7982
GS1_SS_00224_02692	SCBFAD1046E02.g	.	.	.	.	10.507	10.3649	10.8334	10.4513	10.6557	10.8327	10.747	10.9874	10.5496	10.5939	10.6168	10.823	10.5438	10.3678	10.3691	10.264	10.7082	10.7976	10.4646	10.6984	10.6157	10.6951	10.6011	10.4266
GS1_SS_00220_03417	SCBFAD1046A04.g	Unknown	.	.	Vacuolar protein sorting-associated protein 18 homolog; hVPS18	11.9122	11.7309	12.1476	12.1035	11.9348	12.1071	11.9613	11.9655	11.7655	11.8565	11.868	11.8938	11.8365	11.8221	11.7122	11.6697	12.0866	12.102	11.8082	11.8203	11.8305	11.8531	11.732	11.8382
GS1_SS_00223_15807	SCQGHR1013B02.g	.	.	Protein kinase	undefined	8.5099	8.5669	8.8842	8.7896	8.6074	8.7135	8.9045	8.5532	8.6121	8.4162	8.9267	8.8644	8.7102	8.7919	8.4659	8.9543	8.6384	8.8773	8.4379	8.589	8.6099	8.4733	8.8739	8.7661
GS1_SS_00166_14818	SCCCSB1003F12.g	Transport	transporter	Transporters	ABC1 family (ABC1)	8.0935	8.7046	8.1371	8.8366	8.1364	7.6847	8.4287	7.5171	7.8379	8.0334	7.1925	7.381	8.0224	8.6219	8.5189	8.8053	8.136	7.7948	8.0561	7.6907	8.202	7.8913	7.0617	6.9876
GS1_SS_00167_19962	SCEQRZ3024A07.g	Unknown	uncharacterized	No matches	non-coding			6.5763	6.4106	6.2492				6.1588	5.8723				6.6051					6.7842	6.6224				
GS1_SS_00161_20790	SCEZLB1005H10.g	.	.	Transcription Factor	negative regulator	10.573	10.8789	10.6695	10.9725	10.3783	10.4887	10.8086	10.5711	10.2185	10.179	10.5797	10.4681	10.3717	10.4697	10.3995	10.4042	10.6013	10.6831	10.31	10.2721	10.6757	10.5397	10.3039	10.3123
GS1_SS_00174_21558	SCJLRT1013E08.g	Transport	Aquaporin	Transporters	Major intrinsic protein (MIP)	11.4785	10.954	11.8227	12.1827	11.7349	12.6171	11.6523	11.371	11.2965	11.4168	12.1283	11.3826	11.6341	11.6925	11.4702	11.8167	11.7472	11.8596	11.5601	10.9185	11.5831	10.5941	11.2919	12.0107
GS1_SS_00169_15159	SCQSST1037B10.g	.	.	Receptors	Receptor Ser/Thr kinase	7.4488	6.9156	7.3617	7.0763	7.2616	7.4047	8.0221	7.9784	6.8883	7.5711	6.7883		7.1574	7.2038	8.4289	8.7566	7.4175	7.174	7.3856	6.9177	7.8985	8.6851	7.1117	6.8835
GS1_SS_00173_02848	SCEQLB1065D11.g	.	.	.	.	6.8598	6.9322	6.6334	6.9793	6.4615	6.1975	6.6738			5.8633	6.0595	6.5545		7.1775		7.0693	6.48	6.5068		6.1457	6.5442	6.2201	6.2613	
GS1_SS_00158_13733	SCACAD1038B10.g	.	.	.	.	13.0499	12.4874	12.938	12.7209	12.9446	13.0912	13.236	13.318	13.0124	12.757	12.9896	12.9083	12.8203	12.6638	12.6044	12.8037	12.884	13.2189	12.7388	13.1264	12.9839	12.8421	12.9871	12.5583
GS1_SS_00176_04703	SCACAD1039C10.g	.	.	.	.	10.3383	10.4023	10.8828	10.9692	10.622	10.7381	10.4584	10.2744	10.447	10.5185	10.7685	10.9298	10.3792	10.6409	10.0842	10.2368	10.6028	10.7983	10.514	10.5788	10.4833	10.3523	10.7274	10.4928
GS1_SS_00187_09901	SCACAD1039H11.g	Unknown	Uncharacterized	.	Uncharacterized protein At1g14870	9.8137	10.0191	10.2785	10.2605	9.909	9.763	9.9336	9.9365	10.0393	9.9267	9.8861	9.9002	9.8428	10.0547	9.8652	9.624	10.2302	10.3014	9.9396	9.888	9.8873	10.1762	9.6978	9.7099
GS1_SS_00184_14092	SCJLRT2051E02.g	Unknown	Uncharacterized	.	RecName:BTB/POZ domain-containing protein At2g30600	8.0798	6.2087	8.4206	8.0082	8.4753	9.2132	8.3811	9.175	7.629	8.2028	8.0094	6.5954	8.1204	7.0685	8.4575	8.0959	8.4314	9.1681	8.3507	8.7881	8.2783	8.1034	7.8346	7.9057
GS1_SS_00190_10768	SCBFRT1071H10.g	Redox metabolism	Reductase	.	Putative tropinone reductase homolog At1g07440	12.6364	13.2599	12.9252	13.4396	12.5847	12.3779	12.6594	11.6377	12.1544	11.8777	12.8171	12.5497	12.5322	13.3915	12.2428	12.9528	12.7119	12.7463	12.4832	11.6442	12.6034	11.9489	12.2064	12.5991
GS1_SS_00179_05530	SCEPRZ1009E05.g	Signal Transduction	phospholipid binding	.	Rho GTPase-activating protein 20; Rho-type GTPase-activating protein 20	12.6231	12.8935	13.1162	12.9003	12.9077	12.5627	12.8672	12.7236	12.9028	12.9677	12.6799	13.1029	12.8535	12.9809	12.4593	12.0544	12.9775	12.6989	12.7109	12.8284	12.6188	12.8204	12.4594	12.4584
GS1_SS_00180_12338	SCBGLR1118D05.g	Signal Transduction	transcription factor	.	NAC-domain containing protein	11.2954	11.2443	11.5551	11.5892	11.3504	11.5845	11.5974	11.6187	11.3031	11.1568	11.4015	11.268	11.2451	11.1675	11.1453	11.1292	11.3832	11.6309	11.0032	11.2193	11.3493	11.2676	11.2553	10.8914
GS1_SS_17798_06523	SCVPLR2027A11.g	Signal Transduction	others	.	Auxin-induced in root cultures protein 12;	6.9361	8.0208	7.5129	7.9327	7.1446	6.6631	6.9569		7.4507	7.7816	7.3475	7.0358	7.2968	7.6719	6.6866	6.5867	7.448	6.5111	7.3263	6.7448	6.6667	6.4306	6.2128	7.0637
GS1_SS_17799_05824	SCVPAM1055G01.g	Carbohydrate metabolism	dehydrogenase	.	D-3-phosphoglycerate dehydrogenase, chloroplastic; 3-PGDH;	9.8837	9.2604	10.0564	9.5143	9.8327	9.7313	10.0397	9.7899	10.2219	10.0701	9.8298	10.2857	9.7271	9.6247	9.7383	9.5905	9.8558	9.8805	9.6102	9.6516	9.6996	9.9116	9.5396	9.4012
GS1_AS_23398_15834	SCSBFL4066F01.g	Unknown	uncharacterized	No matches	.		6.9276	6.4234	6.675	6.1262		6.5174		6.3688	5.5793	6.1427	5.9674	6.3266	6.361			6.2363	6.1369	6.1298					
GS1_AS_23399_02232	SCQGLR2025H12.g	.	.	.	.			6.7473		6.2936	6.6766			6.4032	6.3874			7.0656	6.1509					7.1078	6.9331		5.8709		
GS1_SS_22942_15410	SCSGFL4C08B10.g	Transport	Transporters	Transporters	POT family (PTR2)	12.5609	12.961	13.1117	13.4715	12.781	12.8296	12.98	12.7837	12.7193	12.6044	13.1953	12.9726	12.8973	12.7254	12.5541	12.7565	13.1514	13.3809	13.0965	13.2462	12.9774	12.4101	12.7481	13.0772
GS1_SS_17781_12905	SCJLST1020E04.g	.	.	.	RecName:Translation initiation factor IF-2	7.4348	7.701	8.138	8.1305	8.212	8.194	7.1193	7.3097	8.01	8.0214	8.2921	8.4647	8.2667	8.2486	8.3506	8.7204	7.891	7.774	8.4017	8.5061	7.8426	7.7714	7.9104	8.2984
GS1_SS_20405_02694	SCSBFL1039H01.g	.	.	.	Acyl-[acyl-carrier-protein] desaturase, chloroplastic; Stearoyl-ACP desaturase;			8.5184	8.5825	8.4566	8.6894			8.534	8.4933	7.7214	7.5736	8.7432	8.6308	6.7849		7.4094	7.3942	9.0849	9.0257	6.899	6.9724	7.5707	7.6084
GS1_SS_22941_15571	SCMCSB1108H04.g	.	.	Protein kinase	MAPK/MAPKK/MAPKKK	9.6693	9.6263	10.156	10.0652	9.8638	10.1248	9.9419	9.8925	9.973	9.9314	9.9591	9.8887	9.8854	9.8346	9.542	9.3249	9.894	10.027	9.7322	9.8754	9.8164	9.7933	9.8127	9.6931
GS1_SS_17782_07409	SCJLST1020E05.g	Unknown	Uncharacterized	.	Polyprenol reductase 1 Polyprenol reductase 1			6.3148	6.404		6.2988				5.6832	6.3355	6.2046					5.7664	6.0268	6.2529	6.2143		6.1578	6.0098	5.8258
GS1_SS_20404_02424	SCSBFL1039F09.g	.	.	.	.	9.2309	9.1198	9.7654	9.3601	9.5278	9.3104	9.6122	10.1878	9.4102	9.5872	9.6835	9.9135	9.4716	9.2983	9.3128	8.6502	9.5835	9.6532	9.4336	9.7351	9.4629	9.7002	9.4927	9.2705
GS1_SS_20416_06620	SCEZLR1031A11.g	Lipid metabolism	transferase	.	Acetyl-CoA acetyltransferase, cytosolic 1; Cytosolic acetoacetyl-CoA thiolase 1; Thiolase 1; Protein EMBRYO DEFECTIVE 1276	10.115	10.0209	10.594	10.4558	10.4421	10.4445	10.1933	10.3222	10.3604	10.3794	10.2751	10.3011	10.4312	10.2568	9.9724	10.2477	10.5407	10.796	10.3608	10.5166	10.3456	10.4811	10.3937	10.1014
GS1_SS_22944_11135	SCSGFL4C08C09.g	Unknown	no matches	.		7.4997	6.9341	8.5644	8.4616	7.9959	8.6061	6.7406	7.4512	8.1046	8.1792	7.9484	7.6111	8.3149	8.1773	7.8316	7.5792	8.061	8.4272	8.8229	8.806	7.6865	7.7103	7.865	8.1
GS1_SS_17786_14243	SCJLST1020G03.g	.	.	.	.			6.4884	6.3479	6.232	6.5825	6.3295			6.1898	6.8567	6.2711	6.9684	6.3798			5.976	6.133	6.532	6.5086	6.2312		6.4602	6.3449
GS1_SS_17787_14082	SCCCLR1048A12.g	.	.	.	Protein VERNALIZATION INSENSITIVE 3	9.388	9.8028	9.5882	9.795	9.3851	9.0945	9.783	9.6433	9.4113	9.4943	9.4222	9.8945	9.243	9.5222	9.2867	9.0897	9.5638	9.4509	9.1974	9.1911	9.5985	9.568	9.2823	9.3053
GS1_SS_22943_15534	SCAGRT2037G07.g	Carbohydrate metabolism	Sucrose/trehalose/sorbitol and other mono/oligosaccharides	Cell wall	sucrose-phosphate synthase	12.4031	12.9026	12.9234	13.1987	12.4762	12.5097	12.6025	12.0688	12.3717	12.1112	12.6202	12.2699	12.4713	12.9999	12.3202	12.5399	12.8636	12.7154	12.4451	12.0051	12.4781	12.2882	12.2307	12.4919
GS1_SS_20411_07583	SCAGFL1093E07.g	.	.	.	.			7.0704	7.2427	6.6709	6.6426	5.9171	6.0373	6.3636	6.3205	7.0243	7.085	6.5769	6.8172	7.0873	7.2147	6.7306	6.7509	6.7275	6.7631	6.408	6.1783	6.6786	6.7333
GS1_SS_22950_16778	SCSGFL4C08H12.g	.	.	Unknown protein	.	8.0493	7.1366	8.4758	8.0681	8.4206	8.5664	8.0652	8.4709	8.2536	8.3779	8.1494	8.2373	8.1808	8.0523	8.1187	7.6588	8.2797	8.4353	8.1087	8.3993	8.0934	8.2767	8.4451	7.9304
GS1_SS_17791_14088	SCJLST1021C04.g	.	.	.	.			6.0337					6.9937									5.7302	6.3562						
