probe_name	transcript_name	function	structural	category	sub category 1	15S_E1.1.C_C.030409_0.96.c	15S_E1.1.C_C.030409_0.96.t	15S_F1.1.C_C.030409_0.96.c	15S_F1.1.C_C.030409_0.96.t	36S_E1.1.C_C.030409_0.96.c	36S_E1.1.C_C.030409_0.96.t	36S_F1.1.C_C.030409_0.96.c	36S_F1.1.C_C.030409_0.96.t	79S_E1.1.C_C.030409_0.96.c	79S_E1.1.C_C.030409_0.96.t	79S_F1.1.C_C.030409_0.96.c	79S_F1.1.C_C.030409_0.96.t
GS1_SS_20319_21785	SCJLST1020H09.g	.	.	Receptors	receptor Ser/Thr kinase	15.0685	13.6241	11.0512	9.7784	14.7568	13.5754	11.794	9.3021	15.4932	13.1418	9.3676	8.9714
GS1_SS_22863_06005	SCRUFL3064E02.b	.	.	.	.	12.449	10.9788	12.8012	13.8025	12.0239	10.0634	14.0259	13.6133	12.4646	10.4177	13.1444	13.5759
GS1_SS_22866_10088	SCRUFL3065A06.g	Signal Transduction	quinase	.	Uncharacterized protein sll0005	9.8795	10.6157	12.4205	13.6149	11.525	10.582	16.2808	12.4458	9.3582	10.5792	10.3691	12.3195
GS1_SS_20328_08610	SCCCLR1022E02.g	.	.	.	MORC family CW-type zinc finger protein 3; Zinc finger CW-type coiled-coil domain protein 3	13.3328	13.4908	11.6753	11.844	13.2454	13.4947	11.7795	11.9344	13.632	13.767	11.8313	11.916
GS1_SS_22865_08747	SCRUFL3064H09.g	.	.	.	.	11.7766	12.0592	9.9157	9.7465	11.8704	12.9136	10.1529	10.5174	12.1347	12.8668	10.3383	9.7328
GS1_SS_20325_11381	SCRFFL1028A05.g	.	.	.	Stress-induced-phosphoprotein 1; STI1; Hsc70/Hsp90-organizing protein; Hop	7.1819	8.5589	7.3579	8.1365	9.657	9.5702	9.4985	7.5393	6.8298	8.8215		
GS1_SS_00282_09270	SCQSST3114B02.g	.	.	.	.	13.4904	14.8274	11.3439	11.5781	13.6155	14.988	11.0619	11.8832	13.6904	14.7302	11.4987	12.1115
GS1_AS_17909_00005	SCMCST1053A11.g	Unknown	no matches	.		6.3899	6.6769			6.0045	6.622			7.578	7.4364		6.8335
GS1_SS_00280_04396	SCEZLB1007H01.g	.	.	Transcription Factor	F-box family protein	14.4299	13.3505	12.8037	12.3666	13.9038	13.2768	12.3332	13.169	14.3311	13.1328	12.7015	12.3705
GS1_SS_00281_11022	SCBFFL4113F07.g	.	.	.	.	11.0475	10.5849	9.648	9.309	10.7727	10.7986	8.205	10.2472	10.9581	10.5839	9.3539	9.1783
GS1_AS_17904_20092	SCMCST1052H06.g	Others	cytochrome P450 family protein	Stress	Cytochrome P450	6.5143		6.9337	6.9878	6.5193		8.234	7.0479	6.8722			
GS1_SS_00271_17715	SCCCRZ2C01H09.g	.	.	Transporters	ABC1 family (ABC1)	12.2772	13.0684	15.2536	15.0748	13.7525	13.1321	16.5964	14.8134	12.6541	13.5423	14.5347	14.4218
GS1_AS_23241_16747	SCUTFL3075D09.g	Unknown	Uncharacterized	Transcription Factor	hormone-related/auxin/Aux/IAA	7.9506	7.6691	7.949	8.2799	8.411	8.2041	9.1808	8.1078	9.807	9.8182	9.3229	9.3055
GS1_SS_00272_17699	SCJLLR1105G12.g	.	.	Protein metabolism	Elongation factor Ts (EF-Ts)	14.0113	13.7136	12.2312	11.7397	14.4283	13.8248	11.0725	12.4238	13.935	13.4655	12.2809	11.6316
GS1_SS_00270_03274	SCQGAM2029E05.g	Transport	transporter	.	Exportin-4; Exp4	10.6449	11.9926	9.9793	9.7895	10.7682	12.0461	9.716	10.1063	11.1917	12.659	10.7644	10.3983
GS1_SS_00277_09034	SCEZSD1081B09.g	.	.	.	.	10.6697	11.4512	10.6624	11.2483	11.0282	12.1161	12.1664	11.5488	10.044	11.0232	10.343	10.9994
GS1_SS_00279_20580	SCEQLB1064C12.g	.	.	Nucleic acid metabolism	regulation of transcription, DNA-dependent	13.3842	13.4281	12.8315	12.9273	13.4626	13.4845	13.0321	13.0494	13.921	13.871	13.5835	13.3917
GS1_SS_00273_10095	SCSGFL1079E08.g	RNA metabolism	ribosomal protein	.	50S ribosomal protein L1	12.0009	11.7898	10.2793	10.1365	11.9593	12.133	8.8873	10.5582	12.74	12.5334	10.4515	10.2508
GS1_SS_00276_04878	SCSGLR1084F05.g	.	.	.	Actin-related protein 2/3 complex subunit 1; Arp2/3 complex 41 kDa subunit; p41-Arc	11.3704	11.578	9.0625	8.8425	11.4136	11.9495	9.4348	9.5169	11.6404	12.0475	9.8877	9.5681
GS1_SS_22894_07702	SCJFLR1013G02.g	Unknown	.	Protein kinase	.	13.8166	14.3259	12.7349	13.01	13.9443	14.382	13.7139	13.4906	14.0453	14.7817	12.5312	12.581
GS1_SS_20361_09400	SCCCLR1070B03.g	Protein metabolism	chaperone	.	Protein cdcH	10.6586	12.324	11.0103	11.5908	12.4406	12.7276	13.1845	10.9628	10.6053	12.9453	10.3973	11.3884
GS1_SS_20360_09819	SCEPAM1053C09.g	Signal Transduction	metalloprotease	.	Speckle-type POZ protein; HIB homolog 1; Roadkill homolog 1 Speckle-type POZ protein; HIB homolog 1; PDX-1 C-terminal-interacting factor 1 Speckle-type POZ protein Speckle-type POZ protein	13.7006	13.3566	7.199	8.065	13.7769	13.9564	8.6455	8.8756	13.6195	13.3849	9.4879	10.3676
GS1_SS_22890_13475	SCSGHR1071C12.g	.	.	.	Quinone oxidoreductase; NADPH:quinone reductase; Zeta-crystallin homolog protein	13.4421	13.6436	13.3993	13.1082	13.8874	13.9043	13.7411	13.8395	14.008	14.186	13.5099	12.8462
GS1_SS_20364_04184	SCCCRT2003G01.g	.	.	.	RecName:HAUS augmin-like complex subunit 3	8.8798	8.4831			9.4988	9.052			9.1289	9.2555		
GS1_SS_22896_09066	SCAGLB1071G03.g	.	.	.	Defender against cell death 1; DAD-1; Defender against apoptotic death 1 protein Defender against cell death 1; DAD-1; Defender against apoptotic death 1 protein	13.9708	14.001	12.2542	12.2131	14.3003	14.2222	11.7744	12.8748	14.2544	13.9964	12.4022	12.5425
GS1_SS_20363_19225	SCCCLR1C02F03.g	RNA metabolism	ribosomal protein	Protein metabolism	60S ribosomal protein L17	13.9149	13.28	13.6481	13.725	14.2069	13.7404	12.6829	14.1507	14.5014	13.9817	13.4502	13.2667
GS1_SS_22874_11388	SCCCFL4003H05.g	Unknown	uncharacterized	.	.	9.8229	10.0196			9.6328	9.2946			9.8038	9.6508		
GS1_SS_20352_12561	SCSBFL1038E08.g	.	.	.	.						6.2953					6.2639	7.04
GS1_SS_22873_05816	SCRUFL3066E02.g	.	.	.	.	12.6476	13.0227	10.9915	10.9878	12.6088	12.9595	10.9681	10.9704	12.3799	12.5769	9.9362	10.1664
GS1_SS_20351_02737	SCAGLR1043F06.g	.	.	.	F-box/LRR-repeat protein 3	11.7396	12.0867	10.8539	10.9957	12.4439	13.1304	13.1118	11.4802	13.0389	13.7968	11.9831	11.9205
GS1_SS_20356_04188	SCJLRZ1023G11.g	.	.	.	Ankyrin repeat domain-containing protein 17; Gene trap ankyrin repeat protein; Ankyrin repeat domain-containing protein FOE	9.965	10.295	7.2135	7.4023	10.0322	10.6147	7.3247	8.0426	9.405	9.8957	7.3474	7.3401
GS1_SS_22881_03978	SCRUFL3066D05.b	.	.	.	Nucleolar MIF4G domain-containing protein 1; SGD1 homolog	13.3325	13.3425	11.3091	11.171	13.0092	13.0826	10.4581	11.123	13.5738	13.6478	12.2978	11.8182
GS1_SS_20355_20318	SCSBFL1038F08.g	Others	.	Hormone biosynthesis	gibberellin	9.2584	7.3253			8.6232	6.8376			8.6494			
GS1_SS_22876_02160	SCQSHR1022A01.g	Unknown	uncharacterized	.	.	13.4327	10.0651	6.6221		12.4024	9.9867		7.4434	12.8588	10.3062	7.6031	7.1564
GS1_SS_22888_19356	SCJFLR1074F01.g	.	.	Amino acid metabolism	RecName:Serine/arginine repetitive matrix protein 2; AltName:300 kDa nuclear matrix antigen; AltName:Serine/arginine-rich splicing factor-related nuclear matrix protein of 300 kDa; Short=SR-related nuclear matrix protein of 300 kDa; Short=Ser/Arg-related nuclear matrix protein of 300 kDa; AltName:Splicing coactivator subunit SRm300; AltName:Tax-responsive enhancer element-binding protein 803; Short=TaxREB803		6.6894			6.6462	6.3544			7.0321			
GS1_SS_20357_15309	SCBFAM2022B05.g	Carbohydrate metabolism	several pathways (several putative substrates)	Cell wall	Galactosyltransferase	12.4099	12.2822	7.6328	7.4882	12.833	12.5279	8.775	8.5333	12.5616	12.6503	8.2051	7.8683
GS1_AS_23309_04403	SCEZAM1083D09.g	Protein metabolism	.	.	SCF ubiquitin ligase complex protein SKP1a; Glycoprotein FP21 isoform A;  SCF ubiquitin ligase complex protein SKP1a(4-162);  SCF ubiquitin ligase complex protein SKP1a(6-162)	6.6838		6.4514	6.3886	6.3734	6.6575		6.4196			6.885	
GS1_SS_00297_12677	SCRFFL1026B07.g	Unknown	uncharacterized	.	.	11.7318	10.5087	10.0756	10.0903	11.2673	11.0024	9.3411	10.0644	11.5582	9.7818	7.8461	8.0138
GS1_SS_00301_12572	SCBFAD1048E02.g	Unknown	uncharacterized	.	RecName:Leucine-rich repeat extensin-like protein 5; Short=AtLRX5; Short=LRR/EXTENSIN5; AltName:Cell wall hydroxyproline-rich glycoprotein; Flags: Precursor	11.2731	10.9162	7.9356	7.719	11.2705	11.2862	8.59	8.287	7.2383	7.4438	6.5344	
GS1_AS_23307_03438	SCUTFL3074E09.g	.	.	.	Probable serine/threonine-protein kinase At1g54610					6.2988	6.6388			6.6429			
GS1_SS_00287_15114	SCRFLR1012E09.g	.	.	Transcription Factor	AT-rich interactive domain-containing protein 2; ARID domain-containing protein 2; BRG1-associated factor 200; BAF200; Zinc finger protein with activation potential; Zipzap/p200	14.5621	14.4839	12.9464	13.1557	14.7995	15.1068	13.3098	13.47	15.1628	15.6335	13.2469	13.4038
GS1_SS_00288_08605	SCRUFL4024H09.g	.	.	.	RecName:Vegetative cell wall protein gp1; AltName:Hydroxyproline-rich glycoprotein 1; Flags: Precursor	8.2646	7.8427			8.6144	8.3458			8.9048	8.473		
GS1_AS_23288_07140	SCBGFL5082D09.g	Unknown	no matches	.	.	7.9176	8.1254	8.6156	8.0339	9.8303	9.2524	8.6646	8.1429		7.477	7.6883	
GS1_SS_00283_19610	SCEPLB1042B08.g	Signal Transduction	.	Carbohydrate metabolism	Starch synthase	11.7911	11.9892	13.3408	12.9465	9.5196	12.5305	9.227	13.2158	12.6594	13.1687	14.0516	13.0757
GS1_AS_17933_15091	SCEZHR1047G06.g	.	.	Hormone biosynthesis	auxin	6.5215		6.8494	6.6753	6.1868			7.3339	7.6504	7.814	8.1858	8.1475
GS1_SS_00284_02498	SCEPAM2015B05.g	.	.	.	Arsenite-resistance protein 2	10.748	11.2676	9.1348	8.8936	11.0724	11.4843	9.3014	9.5071	11.2403	11.7215	9.3886	9.0972
GS1_AS_23274_18575	SCRLFL4029H04.g	Signal Transduction	kinase/phosphatase	Protein kinase	GSK3/shaggy					6.3177	6.8032					6.7284	7.6321
GS1_AS_23302_18018	SCEQFL5046E01.g	.	.	other	.	6.9394	7.1635	6.4103	6.7683	7.1664	7.196	7.7842	7.1989	7.9932	7.9824	8.407	9.1487
GS1_SS_00296_18314	SCRFLR1055F04.g	Others	synthase	Secondary metabolism	Cycloartenol Synthase	14.0598	14.7214	12.2348	12.9555	14.497	14.8812	14.0818	14.5717	13.027	13.9676	12.4063	12.7887
GS1_SS_00289_20932	SCQSFL3035A05.b	.	.	Carbohydrate metabolism	Putative endoxyloglucan transferase	8.0693	7.9123			7.8844	8.2381			8.9375	8.6589		
GS1_SS_00292_13707	SCCCLR1048G09.g	.	.	.	.	14.3841	14.4905	13.624	13.4808	14.6117	14.8332	13.7669	13.8236	14.9042	15.0788	13.9261	13.7693
GS1_AS_17945_01873	SCMCST1055D08.g	.	.	.	RecName:Translation initiation factor IF-2	6.8271		7.1654	7.4591	7.2718	7.2233	7.8686	7.6438	8.0179	8.2247	7.8203	7.774
GS1_SS_22827_14367	SCUTLR1037C03.g	.	.	.	Proactivator polypeptide;  Saposin-A; Protein A;  Saposin-B-Val;  Saposin-B; Sphingolipid activator protein 1; SAP-1; Cerebroside sulfate activator; CSAct; Dispersin; Sulfatide/GM1 activator;  Saposin-C; Co-beta-glucosidase; A1 activator; Glucosylcer	12.9478	12.8005	12.1753	12.3354	12.9091	12.5442	12.3783	12.6559	13.4312	12.9037	12.3463	12.6645
GS1_SS_22825_01097	SCRUFL3060H07.g	.	.	.	.	9.3621	9.7039	6.1334	6.5336	9.0549	10.152	9.9089	7.118			7.122	
GS1_SS_22830_13612	SCRUFL3061A07.g	.	.	.	.	7.9852	8.0822	8.2614	8.3069	8.3271	8.1963	9.2232	8.5049	9.9699	10.2019	8.821	8.8473
GS1_SS_22829_11317	SCRUFL3060H05.b	.	.	.	.	13.1705	13.0689	14.3876	14.0073	13.6898	13.0831	14.533	14.3037	13.5018	13.1938	14.5246	14.0457
GS1_SS_22837_19431	SCSBFL1040B02.g	Development	uncharacterized	Development	LATERAL ORGAN BOUNDARIES protein	11.2847	10.6257			11.7438	11.1645			10.9297	9.5594		
GS1_SS_22831_08914	SCRUFL3061B03.g	Protein metabolism	chaperona	.	16.9 kDa class I heat shock protein; Low molecular weight heat shock protein; Heat shock protein 17; HSP 16.9	12.4915	12.4475	8.7701	11.9128	16.2932	12.5022	13.0524	9.8403	10.7463	12.0561	10.4483	13.6908
GS1_SS_22821_01208	SCRUFL3060E12.g	Others	heat-shock protein	.	17.4 kDa class I heat shock protein 3	9.84	9.7009	8.6175	13.4059	15.9127	11.012	12.0949	9.2925	9.8491	12.3895	9.8963	13.5979
GS1_SS_22820_18965	SCACAM2045A07.g	.	.	G protein	beta	12.6515	12.6606	12.1119	11.8447	12.1969	12.8692	11.0655	11.9029	12.579	12.7188	11.3231	11.3645
GS1_SS_22824_08503	SCRUFL3060G04.g	.	.	.	Putative U5 small nuclear ribonucleoprotein 200 kDa helicase	8.5786	9.0002	6.1348	6.5571	7.7906	9.2064		7.0761	7.3364	7.7232		
GS1_SS_22822_06592	SCCCRZ2002F01.g	.	.	Transcription Factor	HGM (High mobility group protein)	17.6482	17.2734	17.3849	16.5488	17.4205	17.7249	15.5897	17.9981	17.5112	17.2623	17.6097	16.4451
GS1_SS_00248_20496	SCEPLR1008H10.g	.	.	Phosphatases	Serine/Threonine Phosphatases	12.5892	12.9021	12.7578	12.8687	13.6108	12.9627	14.545	13.3161	12.6998	12.9268	13.6126	13.289
GS1_SS_00249_14079	SCVPAM1057E02.g	.	.	.	RING-H2 finger protein ATL1Q	10.5227	10.2887	11.2932	11.4119	11.4979	10.613	12.1353	11.7121	10.7497	10.7444	11.3253	11.6676
GS1_SS_00246_05672	SCJFRZ2027A01.g	.	.	.	Coatomer subunit delta-3; Delta-coat protein 3; Delta-COP 3; Archain	12.0141	12.3413	11.0962	11.1667	11.7778	12.228	10.5981	11.0955	11.3013	11.7879	10.3686	10.4574
GS1_SS_00247_17909	SCCCRZ1C01E03.g	Cell cycle	DNA replication factor	Cell cycle	CDC	15.4623	12.5527			14.667	12.6751		6.4691	15.0771	12.3032		6.4054
GS1_SS_00251_00031	SCEPCL6018B07.g	.	.	.	RNA polymerase II-associated protein 3	11.9909	13.5097	10.54	10.972	12.485	13.8863	11.5734	10.9936	12.3698	14.4963	11.0996	11.899
GS1_AS_23187_03185	SCMCFL5024A11.g	Unknown	uncharacterized	.	RecName:Putative WEB family protein At1g65010, chloroplastic; Flags: Precursor	8.2061	8.6553	13.3929	13.1966	7.8973	8.4843	9.1875	13.1761	8.8995	9.3012	13.4243	12.1563
GS1_SS_00237_02343	SCBGFL4048E07.g	Others	uncharacterized	.	Coatomer subunit beta-1; Beta-coat protein 1; Beta-COP 1	10.1001	10.0682	6.9116	7.3285	10.3432	10.2594	8.6888	8.1105	9.5821	9.529	6.947	
GS1_SS_00241_19560	SCBFAD1046B06.g	.	.	Carbohydrate metabolism	N metabolism	12.1093	11.6357	11.2629	11.1551	11.8272	11.72	10.3248	11.3242	11.6918	11.4586	11.1624	11.1149
GS1_AS_23160_01033	SCRFFL5042F04.g	.	.	.	Pumilio homolog 1	6.4243	6.4629			6.147	6.3989					6.1826	
GS1_SS_00243_02760	SCBFAD1046C04.g	.	.	.	.	9.5753	10.4508	8.766	9.4383	9.8951	10.7574	10.2786	9.2948	9.1157	10.1117	8.5127	9.5389
GS1_AS_23152_00433	SCSBFL5015D03.g	.	.	.	.	6.7579				7.4603				8.7542	7.6595		
GS1_SS_00238_12178	SCAGCL6016D05.g	.	.	.	RecName:MACPF domain-containing protein CAD1; AltName:Protein CONSTITUTIVELY ACTIVATED CELL DEATH 1; Short=Protein CAD1	13.5529	13.7002	12.2383	11.8876	13.5649	13.8573	12.1762	12.4329	13.6384	14.0246	12.4193	11.9947
GS1_SS_00240_19339	SCJFRZ2032G01.g	.	.	Protein kinase	SNF-like kinase	12.7999	12.0597	10.9674	10.5319	12.6082	11.7728	11.6883	11.0473	13.0465	11.7231	10.7374	10.5436
GS1_SS_22849_09686	SCRUFL3063F11.g	.	.	.	Cationic amino acid transporter 3; CAT-3; Cationic amino acid transporter y+; Solute carrier family 7 member 3	10.9584	11.0055	9.9775	9.3477	10.7684	11.2806	9.9228	9.7363	11.1231	11.421	9.889	9.3782
GS1_SS_22847_05171	SCVPRZ2043H11.g	Protein metabolism	ribosomal protein	.	Protein MAK16 homolog A; MAK16-like protein A	14.0878	14.6182	13.2428	13.256	13.9966	15.0137	11.0236	13.782	14.3257	14.6806	13.221	12.7247
GS1_SS_20310_14140	SCRUFL1019D12.g	.	.	.	LETM1 and EF-hand domain-containing protein anon-60Da, mitochondrial; Leucine zipper-EF-hand-containing transmembrane protein 1;	10.4581	11.0311	10.8196	11.1471	11.5779	11.6849	12.2708	11.4203	10.4192	11.3433	10.6312	10.3455
GS1_SS_22856_13409	SCJLAM1060B11.g	Others	.	.	RecName:Leucine-rich repeat extensin-like protein 3; Short=AtLRX3; Short=LRR/EXTENSIN3; AltName:Cell wall hydroxyproline-rich glycoprotein; Flags: Precursor	16.0198	15.4782			15.2975	15.6226			16.2316	15.0882		
GS1_SS_20314_00490	SCQSSB1059G07.g	Protein metabolism	.	.	Serine carboxypeptidase-like 34;			9.9811	9.5385			11.8805	9.1693			10.3952	10.8691
GS1_SS_20312_09582	SCBFSB1046E09.g	.	.	.	.	9.9593	9.7308	6.2095		9.6752	9.6398		7.1631	10.1479	10.0539	6.497	
GS1_SS_22855_03227	SCQGHR1013G09.g	.	.	.	Haloacid dehalogenase-like hydrolase domain-containing protein 1A	11.1938	11.479	11.1184	11.0893	11.5099	11.8372	11.1375	11.5182	11.2393	11.2553	10.532	10.6302
GS1_SS_20316_18266	SCSFAD1111A04.g	.	.	Lipid, fatty-acid and isoprenoid metabolism	Long-chain-fatty-acid--CoA ligase 4 (EC 6.2.1.3) (Long-chain acyl-CoA synthetase 4) (LACS 4	10.9329	11.1109			11.1906	11.5493		7.2027	10.1339	10.1312		
GS1_SS_20315_10910	SCCCLR1024B10.g	Others	uncharacterized	.	Retinol dehydrogenase 11; Retinal reductase 1; RalR1; Prostate short-chain dehydrogenase/reductase 1; Androgen-regulated short-chain dehydrogenase/reductase 1; HCV core-binding protein HCBP12	15.6084	15.2866	6.7754	7.1254	15.7977	15.2573	11.3135	8.8742	15.4943	14.5811	7.3892	7.2223
GS1_SS_22857_09774	SCVPRZ2039E07.g	Unknown	.	.	RecName:Serine/arginine repetitive matrix protein 2; AltName:300 kDa nuclear matrix antigen; AltName:Serine/arginine-rich splicing factor-related nuclear matrix protein of 300 kDa; Short=SR-related nuclear matrix protein of 300 kDa; Short=Ser/Arg-related nuclear matrix protein of 300 kDa; AltName:Splicing coactivator subunit SRm300; AltName:Tax-responsive enhancer element-binding protein 803; Short=TaxREB803	14.2975	16.0071	12.7172	13.3637	14.2356	16.3406	13.1526	13.8943	14.2996	16.5596	12.597	12.8467
GS1_SS_22838_19001	SCCCLR2003E04.g	.	.	Protein phosphatase	serine/threonine PPM family	12.7829	12.9346	11.8135	11.3994	13.0909	13.5792	11.7166	12.367	13.324	13.5166	11.7849	11.1994
GS1_SS_22842_10315	SCSGAM2079D02.g	.	.	.	.	12.8797	12.8155	13.294	12.7434	12.4461	12.9966	12.369	13.3607	12.2602	12.3324	12.5416	11.7148
GS1_SS_22840_00403	SCCCFL5060A01.g	.	.	.	DNA repair and recombination protein PIF1; AltName:ATP-dependent helicase PIF1; AltName:Telomere stability protein 1; Flags: Precursor	9.3971	9.9514	8.0883	8.2298	9.7374	10.3226	8.5871	8.6883	9.092	9.871	8.9412	9.0432
GS1_SS_20305_09811	SCRUFL1019C03.g	.	.	.	.	11.1142	10.5117	8.686	7.8183	11.4792	11.1188	10.9846	9.2372	11.5241	10.3297	9.0551	8.5228
GS1_SS_20309_10832	SCCCCL5002F04.g	.	.	.	Sphingosine kinase A; SPK A; SK A	12.2218	12.6709	11.7307	11.9365	11.7954	12.1854	12.6974	12.1132	11.5165	12.1209	11.0377	11.5954
GS1_SS_22844_11171	SCVPCL6038B06.g	.	.	.	Putative tRNA pseudouridine synthase (tRNA-uridine isomerase) (tRNA pseudouridylate synthase)	9.8347	10.3969	8.6963	8.6291	9.9191	11.0907		9.4062	9.266	10.3125	7.6249	7.0025
GS1_SS_20308_03342	SCRULB1058B07.g	Others	.	.	WEB family protein At2g38370	13.9775	11.556	7.2417	7.0261	13.905	11.5649		7.2479	13.8643	11.1419	7.0454	
GS1_SS_00267_06013	SCEZLB1011C09.g	.	.	.	Putative clathrin assembly protein At2g01600	12.5771	11.4811	7.6468	7.7473	12.6056	11.3253	8.5613	8.1702	12.6208	11.6744	8.4422	8.52
GS1_SS_00268_14291	SCQGLB1039A08.g	.	.	.	GTPase-activating protein GYP7; GAP for YPT7	12.4469	12.1676	10.7741	10.8445	12.4015	12.6321	11.6103	11.3256	12.7718	12.3965	10.7574	10.9785
GS1_SS_00263_21153	SCCCLR1072D08.g	.	.	Cell cycle	Serine-protein kinase ATM (EC 2.7.1.37)	13.0971	13.5305	9.5195	11.0502	13.4147	14.1077	10.5114	10.9412	13.9078	14.7385	10.4866	11.8069
GS1_AS_23213_15193	SCEQAM1040F07.g	.	.	Stress	DNA damage response, signal transduction resulting in cell cycle arrest	7.7423	7.8711	7.974	8.0909	8.372	8.1052	9.5133	8.419	10.2357	10.3244	8.7384	8.6732
GS1_SS_00252_08835	SCACAM1072F01.g	.	.	.	Probable eukaryotic translation initiation factor 3 subunit M; eIF3m	10.5529	9.5897	10.044	10.1285	10.8717	9.6427	9.3845	9.9418	11.2299	10.1119	9.8929	9.6747
GS1_SS_00253_08795	SCSFRT2069F05.g	Unknown	no matches	.	.	6.4224		6.2075					7.0371	7.2623	7.4725	6.9059	7.5965
GS1_AS_23191_00960	SCSBFL5016B07.g	.	.	.	Uncharacterized protein DDB_G0271670; Flags: Precursor					6.1893	6.7619					6.3294	
GS1_SS_00257_08019	SCBFAD1047B09.g	Unknown	.	.	.	6.136	7.1446			6.8307	7.5519	7.0111	6.2422	7.3628	8.447		
GS1_SS_00260_20342	SCEPRZ3044F11.g	.	.	Nucleic acid metabolism	regulation of transcription, DNA-dependent	8.2201	8.2086			8.5885	8.7716			7.0369			
GS1_AS_23196_15970	SCCCLB1023F09.g	Protein metabolism	peptidase	Protein metabolism	Cathepsin B (Fragment)	8.0311	7.6217	8.4797	8.3059	7.4304	7.7353	8.0603	8.5008	9.8091	9.522	9.0178	9.0969
GS1_SS_00254_17418	SCBFAD1047B02.g	Cell cycle	.	Cell cycle	Mitotic checkpoint serine/threonine-protein kinase BUB1 (EC 2.7.1.-) (hBUB1) (BUB1A)	14.2091	14.5196	11.3836	11.7693	13.6077	14.4012	11.2589	11.9645	13.6885	14.2753	11.2085	11.3621
GS1_SS_00256_13873	SCEZAM2061H03.g	.	.	.	UPF0326 protein At4g17486	11.0335	11.3521	10.6166	10.7835	11.1239	11.7616	10.6608	10.3277	10.4211	10.7549	10.6826	10.6957
GS1_AS_23199_16512	SCRFFL5043E04.g	Light harvesting	Uncharacterized	Photosynthesis	(Q7YJV0) PSII T protein			8.4804	8.6605			9.4043	8.3276			9.1517	9.6611
GS1_SS_17723_06062	SCMCST1050A01.g	.	.	.	Serine/arginine repetitive matrix protein 1; AltName:Plenty-of-prolines 101	11.9874	11.7081	9.4767	9.4916	11.4303	12.0063		9.9172	12.0146	12.3257	9.8482	9.4701
GS1_SS_17727_16260	SCVPAM1055F07.g	Signal Transduction	Transcriptional Factor	Transcription Factor	WRKY	11.7389	10.3101			11.5492	10.0026		6.7971	12.9652	10.5043	8.214	7.9381
GS1_SS_17730_03812	SCJFST1012B01.g	Unknown	.	.	.	13.1451	15.5946	13.0782	13.9351	14.6503	16.6467	13.2971	13.7922	13.4184	16.7009	13.6477	14.4528
GS1_SS_17706_21799	SCJLRT1015H07.g	Protein metabolism	protease inhibitor	Amino acid metabolism	Serpin	11.0551	10.9986	10.2655	10.605	11.3368	10.7744	10.7264	11.3077	11.4906	11.1337	10.2716	10.7965
GS1_SS_17707_09818	SCRUFL1017D11.b	.	.	.	.	13.5295	13.1967	12.1829	11.8122	14.0921	13.7545	11.4858	12.9472	13.1287	12.7631	11.8768	11.8673
GS1_SS_17709_21760	SCCCRT2002G11.g	Cell cycle	kinase/phosphatase	Protein kinase	cell cycle-related	14.2389	14.9725	14.2903	14.197	14.9665	15.3596	14.421	14.915	15.1445	15.5748	15.1842	14.5602
GS1_SS_17710_19657	SCCCST1C02D05.g	Carbohydrate metabolism	hydrolase	Carbohydrate metabolism	Aminosugars metabolism	11.0198	10.1263			11.2626	10.2103			10.7756	9.1977		
GS1_SS_17715_13808	SCJFST1017G11.g	Unknown	uncharacterized	.	.	12.6725	11.7698	9.6197	9.6635	12.7035	12.1348	10.0243	10.7527	12.9121	11.7456	10.6705	10.3175
GS1_SS_17716_15864	SCUTLR1058A07.g	.	.	Inositol	inositol phosphatase	11.5785	11.7632	9.3849	9.4821	11.4906	11.9705	9.7762	9.5483	10.855	11.66	9.335	9.4747
GS1_SS_17721_06976	SCCCST1C02E06.g	.	.	.	.	8.1219	7.6382	7.7808	7.7606	7.5995	7.6738	8.0777	8.26	8.1191	7.7046	7.3508	7.4927
GS1_SS_17744_16222	SCCCCL6003A11.g	Signal Transduction	transcription factor	Transcription Factor	Aux/IAA	14.9398	14.0839	13.1357	12.9334	14.7931	14.1163	12.5085	13.4833	15.3986	14.0438	13.5219	12.8364
GS1_SS_17746_06476	SCJFST1047H08.g	Unknown	uncharacterized	.	.	11.4737	11.7307	14.1705	12.2011	14.7003	11.5232	14.9689	13.1039	12.6075	10.6073	14.7805	11.9224
GS1_SS_17733_04000	SCJFST1047B11.g	.	.	.	.		6.5306	7.032	7.1532	6.4504	6.7833	7.828	7.3382	8.3481	8.5724	7.6873	8.249
GS1_SS_17735_03272	SCJFST1047C03.g	.	.	.	Serine/threonine protein phosphatase 2A 59 kDa regulatory subunit B eta isoform (PP2A, B subunit, eta isoform) (AtB eta)	7.6991	7.4705	6.3235	6.2714	8.0474	7.8543		7.1423	7.8367	7.7216		6.9612
GS1_SS_17737_11735	SCJFST1047C12.g	.	.	.	.	6.845	6.7965			6.5372	7.2447						
GS1_SS_17738_12964	SCJFST1047D01.g	.	.	.	RecName:E3 ubiquitin-protein ligase UPL1; Short=Ubiquitin-protein ligase 1	7.4926	7.7485	6.6271	7.0124	7.4294	8.1467		6.8083				
