probe_name	transcript_name	function	structural	category	sub category 1	A1V2E3_0.80.c	A1V2E3_0.80.t	A1V2E5_0.80.c	A1V2E5_0.80.t	A1V2E6_0.80.c	A1V2E6_0.80.t
GS1_SS_20853_14362	SCEQRT1028C07.g	.	.	.	Putative SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 3-like 2; SMARCA3-like protein 2	11.5759	12.0516	12.9649	13.572	13.0636	14.0134
GS1_SS_20851_03446	SCBGLR1114B09.g	.	.	.	Translocation protein SEC62; Translocation protein 1; TP-1	12.9832	12.7758	14.3105	14.4296	14.5733	14.2259
GS1_SS_18218_09497	SCSGST1071E09.g	Unknown	uncharacterized	.	.	7.1584	6.955	8.8098		8.6224	
GS1_SS_15769_16971	SCSBAM1085B06.g	Lipid metabolism	oxidoreductase	lipid metabolism	Omega-3 fatty acid desaturase, chloroplastic;	15.7918	15.9499	16.5889	13.0796	17.6294	13.3209
GS1_SS_20861_21047	SCCCST1002F10.g	.	.	Development	PINHEAD protein (ZWILLE protein)	7.0019		8.0982	6.5786	7.2024	
GS1_SS_18221_01800	SCSGST1071G03.g	Unknown	Uncharacterized	.	.		6.5541	8.1867	8.4074	7.87	8.5637
GS1_SS_20855_03629	SCACSB1119A11.g	.	.	.	Protein quaking; RqkI	11.4851	11.1424	11.4911	11.8157	12.5839	10.7679
GS1_SS_18224_12175	SCSGST1071H06.g	.	.	Unknown protein	.	9.3385	9.6725	10.9233	11.5306	10.2306	11.8103
GS1_SS_15771_06944	SCJFRZ3C03A08.g	Unknown	.	.	RecName:Nucleolar and coiled-body phosphoprotein 1; AltName:140 kDa nucleolar phosphoprotein; Short=Nopp140; AltName:Nucleolar 130 kDa protein; AltName:Nucleolar phosphoprotein p130	8.3222	8.0335	10.1406	8.6247	9.7141	7.4052
GS1_SS_15775_10835	SCRFLR2038B03.g	Signal Transduction	transcription factor	.	GATA transcription factor	11.0697	11.3031	13.0137	12.7656	12.7156	13.1967
GS1_SS_18225_20245	SCCCLR1065F04.g	.	.	Transcription Factor	Homeobox	14.2873	14.2534	14.5937	15.0664	15.683	14.9455
GS1_SS_20866_19468	SCVPRZ3027E04.g	.	.	Unknown protein	VHS domain-containing protein At3g16270	9.8758	9.8742	11.0932	11.4444	10.6379	11.5676
GS1_SS_15780_12770	SCCCRZ2004A10.g	.	.	.	.	11.1542	11.2224	12.9703	13.0054	12.3717	13.0279
GS1_SS_18227_15078	SCSGST1072A08.g	Others	.	No matches	.	10.3613	10.1964	12.9135	12.1749	12.7963	10.9721
GS1_SS_18212_12699	SCSGST1071B07.g	.	.	.	RecName:Probable peptide/nitrate transporter At5g13400	7.4189	7.1919	8.083	7.6165	7.9094	7.3882
GS1_SS_20840_06535	SCACLR1036G12.g	.	.	.	F-box protein SKIP8 OS=Arabidopsis thaliana GN=SKIP8 PE=1 SV=1 	9.5839	9.6262	11.9072	11.3948	11.3093	11.8035
GS1_AS_18974_18897	SCCCRT2001H11.g	Signal Transduction	transcription factor	Small GTPases	ARF (ADP-ribosylation factor)	7.3468	7.0356	7.4299	7.9797	7.8425	9.1032
GS1_AS_18994_01290	SCUTST3092H12.g	Others	cytochrome	Stress	Cytochrome P450	7.2478	7.5467	6.7229	6.6569	6.6665	7.7877
GS1_SS_18170_19060	SCCCLR1C07H06.g	.	.	Protein metabolism	Kurz protein		6.8559	9.3814	8.118	8.599	8.2594
GS1_SS_20801_11337	SCRUHR1076G06.g	.	.	.	30S ribosomal protein S9	8.7657	8.3671	11.1563	9.8056	10.448	9.5193
GS1_SS_18171_04087	SCCCLR1068A10.g	.	.	.	KH domain-containing protein At4g18375	9.9226	10.3088	11.6855	12.3031	11.2946	12.557
GS1_SS_18172_21277	SCSGST1068H05.g	.	.	Protein kinase	undefined	12.7711	13.2137	12.9873	15.0042	14.2577	14.2544
GS1_SS_20804_13775	SCBFLR1083E04.g	.	.	.	Heterogeneous nuclear ribonucleoprotein K; hnRNP K	11.814	11.7512	13.3672	13.372	13.3987	12.9441
GS1_SS_20792_10181	SCACSB1117B01.g	.	.	.	RecName:Uncharacterized protein DDB_G0271670; Flags: Precursor			6.698	7.0448	6.8709	6.7174
GS1_SS_20796_12242	SCJFLR2035F10.g	.	.	.	General transcription factor 3C polypeptide 3; Transcription factor IIIC subunit gamma; TF3C-gamma; TFIIIC 102 kDa subunit; TFIIIC102	7.0122	6.9758	7.9819	8.2328	8.4623	9.2891
GS1_SS_18161_07978	SCSGST1068C07.g	.	.	.	Probable N6-adenosine-methyltransferase MT-A70-like	7.1547	7.1931	9.1856	9.0587	8.2065	8.7119
GS1_SS_18162_07401	SCCCLB1002G03.g	.	.	.	Transcription elongation regulator 1; TATA box-binding protein-associated factor 2S; Transcription factor CA150; p144; Formin-binding protein 28; FBP 28	10.2921	10.4618	12.7603	12.6338	11.5922	12.6043
GS1_SS_20795_09499	SCJLRT2050D07.g	.	.	.	Bromodomain adjacent to zinc finger domain protein 1A; ATP-utilizing chromatin assembly and remodeling factor 1; hACF1; ATP-dependent chromatin-remodeling protein; Williams syndrome transcription factor-related chromatin-remodeling factor 180; WCRF18	11.9544	12.0437	12.6126	13.8486	13.1043	14.0973
GS1_SS_20798_09429	SCJLLR1108F04.g	.	.	.	Mitochondrial import receptor subunit TOM20; Translocase of outer membrane 20 kDa subunit	13.6981	13.2352	15.4194	14.3356	14.7337	14.2451
GS1_SS_18166_18957	SCCCRZ2C03D04.g	.	.	Unknown protein	.	12.4961	12.0955	13.7518	13.5883	13.6851	13.2039
GS1_SS_20797_14580	SCMCSB1109C11.g	Signal Transduction	transcription factor	Cell cycle	NAC-domain containing protein	9.837	9.6934	11.46	10.6954	11.4608	9.5036
GS1_SS_20800_16176	SCRULB1059H09.g	.	.	Protein metabolism	Mitochondrial elongation factor G	9.6758	9.6663	11.9116	11.4538	10.7341	11.3565
GS1_SS_18167_03187	SCSGST1068E11.g	.	.	Protein phosphatase	Serine/Threonine - PPP Family	11.915	11.9554	13.4044	13.4129	13.1112	13.2413
GS1_SS_20799_18259	SCEQLR1029F03.g	Pathogen Resistance	uncharacterized	Pathogenicity	Protease inhibitors	8.9477	8.704	9.4583	9.9089	9.0378	9.9991
GS1_SS_18169_06238	SCVPCL6041A04.g	.	.	.	UPF0655 protein C17G9.12c	10.5805	10.6865	13.0439	13.1134	13.0785	12.6761
GS1_AS_24143_05053	SCVPFL1140D05.g	DNA metabolism	Helicase	.	Putative SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 3-like 3; SMARCA3-like protein 3			6.28	6.6107		6.3687
GS1_AS_24161_01229	SCBGLR1113E01.g	Unknown	Uncharacterized	.	.	13.0823	12.5246	14.3644	13.1541	13.4077	13.1943
GS1_AS_18849_21331	SCQGRT1045A06.g	.	.	Nucleic acid metabolism	regulation of transcription, DNA-dependent	10.2609	10.155	11.1314	10.3905	11.0016	10.5779
GS1_AS_24158_18312	SCCCHR1004E11.g	.	.	Stress	Xanthine dehydrogenase; XD			6.922	7.9343	6.8629	8.3624
GS1_SS_18188_11424	SCJLLR1054E12.g	.	.	.	Neutral ceramidase; N-CDase; NCDase; Acylsphingosine deacylase; N-acylsphingosine amidohydrolase;	12.5431	12.6982	14.3368	14.4847	14.2705	13.8601
GS1_SS_20825_16504	SCEZLB1008F08.g	Signal Transduction	transcription factor	Transcription Factor	hormone-related/auxin	12.6648	12.7378	14.434	13.4663	15.0209	11.6105
GS1_SS_15743_10335	SCSFLR2016C12.g	.	.	.	RING-H2 finger protein ATL1G	10.4101	10.8333	10.5885	12.3165	12.0868	13.2917
GS1_SS_20821_01890	SCEPRZ1009F06.g	.	.	.	UPF0497 membrane protein At2g28370	12.5411	12.325	13.6936	13.8277	13.886	13.7406
GS1_SS_18190_14644	SCEPFL4180E10.g	Redox metabolism	P450	Stress	Cytochrome P450	11.3125	12.0413	15.6983	13.6592	13.6519	11.5796
GS1_SS_18192_21167	SCEQLB1067C03.g	Carbohydrate metabolism	synthase	Carbohydrate metabolism	Pentose phosphate pathway	13.0867	14.2694	15.8095	14.5077	15.6716	13.9184
GS1_SS_15748_00409	SCQSST1038F02.g	Others	uncharacterized	.	Uncharacterized protein At4g06744;		6.33	6.2488	6.6283		
GS1_SS_20806_01836	SCRFAD1023E03.g	.	.	.	.	11.859	12.3097	12.2906	12.0363	13.071	11.221
GS1_SS_18176_12363	SCQSRT1034G09.g	Redox metabolism	.	.	Probable sarcosine oxidase	8.6185	8.4636	12.2368	14.2495	10.5006	14.9981
GS1_SS_18182_14543	SCRFLR1055C07.g	.	.	.	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit; O-linked N-acetylglucosamine transferase 110 kDa subunit; O-GlcNAc transferase subunit p110	11.6092	11.6831	12.614	12.7203	12.5961	12.1724
GS1_SS_15736_13998	SCEQRT2099G05.g	.	.	.	Probable carbohydrate esterase At4g34215	9.7943	9.3593	10.9865	10.6762	10.9038	10.2582
GS1_SS_20813_10423	SCAGFL1094D05.g	.	.	.	Aldose 1-epimerase; Galactose mutarotase	9.5774	9.1471	11.2353	11.045	10.7624	11.2731
GS1_SS_20811_03639	SCMCRT2102E11.g	.	.	.	UPF0420 protein C16orf58 homolog	7.9068	8.0928	10.0116	9.5356	9.0266	8.5523
GS1_SS_15738_07088	SCJFRZ3C01A11.g	.	.	.	Atherin; AltName:Sterile alpha motif domain-containing protein 1; Short=SAM domain-containing protein 1			6.9534	7.0602	6.8751	6.7905
GS1_SS_18184_19625	SCAGLR1043B12.g	RNA metabolism	regulatory protein	Nucleic acid metabolism	mRNA processing	15.4821	15.2415	17.4815	14.0678	16.9633	13.2751
GS1_SS_20817_03154	SCJLRZ1024D11.g	DNA metabolism	.	.	Pentatricopeptide repeat-containing protein At1g80270, mitochondrial;	11.7638	10.9357	14.6028	11.4493	12.3605	11.0311
GS1_SS_15739_14276	SCJFRZ3C01B06.g	.	.	.	IST1-like protein			7.1466	6.9223		8.2485
GS1_SS_18185_11153	SCVPRZ2038B09.g	Senescence and cell death	degrada̤̣o da rubisco	.	Aspartic proteinase nepenthesin-1; Nepenthesin-I;	8.5098	8.1152	9.6884	9.9388	9.3767	8.9124
GS1_SS_15740_11207	SCCCRZ3002D08.g	.	.	.	Uncharacterized protein At2g41620	8.8158	8.5033	9.5263	9.2642	8.8371	8.3711
GS1_SS_20816_04573	SCCCRZ3004F06.g	Unknown	uncharacterized	.	.	15.7689	15.626	16.9649	17.3596	16.1715	17.3672
GS1_SS_15741_17468	SCCCRZ1002E08.g	Transport	transporter	Stress	drought and cold response	16.5195	16.051	16.5804	17.2282	17.1301	16.8781
GS1_SS_20819_14144	SCMCSB1113A10.g	.	.	.	.	10.0333	9.8665	11.0279	9.4372	10.9578	8.0769
GS1_SS_18186_14028	SCBFRZ2016G04.g	.	.	.	.	10.137	10.4951	11.8244	12.2022	11.5526	12.8505
GS1_SS_15742_12390	SCJFRZ3C01D12.g	.	.	.	Protein grpE; HSP-70 cofactor	10.2879	9.8178	12.1216	12.2182	11.3516	12.0606
GS1_SS_18187_00760	SCSGST1069F09.g	Unknown	Uncharacterized	.	Probable gibberellin receptor GID1L3; GID1-like protein 3	12.026	12.14	12.9548	10.9424	13.2056	8.5427
GS1_SS_20818_15217	SCMCSB1113A03.g	.	.	Inositol	inositol kinase	10.6038	10.8637	12.7394	12.5207	12.8219	13.0686
GS1_AS_13771_01441	SCCCCL5001E07.g	.	.	.	.	6.7504	6.7709	7.0253	7.322	6.8251	8.448
GS1_AS_18908_00320	SCBGLR1097B08.g	Lipid metabolism	protein-protein interaction	.	Ergosterol biosynthetic protein 28	6.9338	6.9237				
GS1_SS_18128_02351	SCSFST1064B02.g	.	.	.	.	10.2316	10.3366	11.6543	11.5053	11.5047	11.4767
GS1_SS_20756_11619	SCJLRZ1026C01.g	.	.	.	Zinc finger CCCH domain-containing protein 19; OsC3H19			6.942	6.4371	6.9075	
GS1_SS_18129_08434	SCEQRT1025F12.g	Unknown	Uncharacterized	.	RecName:Uncharacterized protein DKFZp434B061	8.3668	8.2995	10.4531	7.1542	9.5404	
GS1_SS_20762_13543	SCQSRT2036F04.g	.	.	.	Pentatricopeptide repeat-containing protein At1g05665, mitochondrial;	10.1998	10.3224	12.3198	11.8934	11.5272	11.9558
GS1_SS_18130_10995	SCRURT2009C04.g	.	.	.	.	10.5562	10.5688	12.6678	10.9368	11.895	10.2603
GS1_SS_18133_10642	SCSGCL6071B12.g	.	.	.	.	7.1229	7.9119	8.9508	9.0966	8.6757	9.1275
GS1_SS_20758_08309	SCRLRZ3114C03.g	.	.	.	Mitochondrial GTPase 1;	9.9823	9.922	12.0679	10.4272	11.3629	9.4458
GS1_SS_18138_17029	SCAGLR2018F09.g	Signal Transduction	transcription factor	Transcription Factor	GARP transfactor	9.6869	10.3126	10.1362	11.6939	11.8301	10.3596
GS1_SS_20773_20381	SCBGLR1023B11.g	Redox metabolism	oxidoreductase	Stress	Probable polyamine oxidase 4 	11.2495	11.2073	14.5383	13.7767	12.9854	15.2205
GS1_SS_18139_10272	SCQGRT1039H12.g	.	.	.	DnaJ homolog subfamily C member 7 homolog	10.8392	11.2269	12.2863	12.7519	12.1248	12.8405
GS1_SS_20740_14072	SCEZSB1094A08.g	.	.	.	.			6.5836	7.3037	6.5858	8.4443
GS1_SS_18112_09552	SCJFRZ2031G06.g	Unknown	uncharacterized	.	Putative leucine-rich repeat-containing protein DDB0188916	10.3637	9.5167	12.0486	8.2523	11.6266	7.0791
GS1_SS_18115_12912	SCRFST1045E11.g	Unknown	Uncharacterized	.	.	10.2289	10.2295	11.3461	9.6001	11.2693	7.6273
GS1_SS_20753_17855	SCMCSB1111G08.g	.	.	Unknown protein	UPF0414 transmembrane protein C20orf30 homolog	11.8277	11.3406	12.6583	13.4292	12.5243	14.4643
GS1_SS_18116_07970	SCEZLB1010C05.g	Unknown	no matches	.	RecName:Epstein-Barr nuclear antigen 1; Short=EBNA-1; Short=EBV nuclear antigen 1	12.0573	12.3058	12.0617	13.2421	13.1386	13.4255
GS1_SS_20748_08884	SCBFRT1070B06.g	.	.	.	Activating signal cointegrator 1 complex subunit 3; ASC-1 complex subunit p200; Trip4 complex subunit p200; Helicase, ATP binding 1	10.7137	11.3263	12.2259	12.8544	11.4917	13.0953
GS1_AS_18740_06660	SCRUAD1133D06.g	Cell wall metabolism	unknown function	Cell wall	kobito	9.0603	8.979	9.8482	9.4047	9.8416	9.6968
GS1_AS_24113_06923	SCACCL6011G10.g	.	.	.	.			7.2681	7.5804	7.1701	7.6298
GS1_AS_18754_06130	SCEQRT1026G12.g	Others	.	.	.	8.9903	9.2441	9.5404	9.0597	9.9741	8.4433
GS1_AS_24097_07385	SCVPFL1133E11.g	Carbohydrate metabolism	.	.	UDP-glycosyltransferase 74E1	12.1677	12.3955	12.4742	12.8796	13.8077	12.4977
GS1_AS_18737_07573	SCVPCL6042D02.g	DNA metabolism	Chaperone	.	DnaJ homolog subfamily B member 4	6.3908			7.5511	7.0217	8.8112
GS1_SS_18149_17266	SCUTRZ2024A07.g	Unknown	uncharacterized	Stress	.	12.2218	11.1317	13.4664	15.2782	12.4137	15.5492
GS1_SS_20787_13004	SCJFLR1074A12.g	.	.	.	Mitochondrial outer membrane protein porin; Voltage-dependent anion-selective channel protein; VDAC	12.2438	12.2672	14.7104	15.0184	14.7248	14.9624
GS1_SS_18150_04075	SCSFST1066C11.g	Unknown	uncharacterized	.	RecName:Probable nuclear antigen	10.0248	9.8324	11.1488	11.8822	11.3418	11.2885
GS1_SS_20785_06110	SCQGAM1045A11.g	.	.	.	.	7.9845	8.4708	9.91	8.8472	9.9653	8.0317
GS1_SS_18151_13793	SCSFST1066E06.g	Unknown	.	.	RecName:ENHANCER OF AG-4 protein 2; AltName:Protein AERIAL ROSETTE 1			7.6061	7.2919		7.1249
GS1_SS_20789_19891	SCCCLR2003F06.g	.	.	Protein kinase	cell cycle-related	11.7815	12.2299	14.3737	14.7157	14.3315	14.9884
GS1_SS_20774_01428	SCRFAM1026F03.g	.	.	.	Serine/arginine repetitive matrix protein 5	11.5443	11.8041	13.2941	13.5374	12.7461	13.495
GS1_SS_18140_10714	SCSFST1064G12.g	Unknown	uncharacterized	.	RecName:Protein IRX15-LIKE			9.3354		9.3115	6.3066
GS1_SS_20778_12196	SCQGSB1137F08.g	Unknown	Uncharacterized	.	Putative pentatricopeptide repeat-containing protein At1g68930	10.2519	10.7019	12.7927	11.6002	12.3701	10.4684
GS1_SS_18143_12857	SCRFLB1056E01.g	.	.	.	.	11.2931	11.7379	13.1959	13.0793	13.9385	11.3159
GS1_SS_18145_17897	SCBGLR1115D10.g	Unknown	no matches	No matches	non-coding	8.7593	8.672	9.5236	13.1244	10.3812	13.2179
GS1_SS_20777_08422	SCQGSB1143E08.g	.	.	.	SAC domain-containing protein 3; FIG4 homolog			7.532	8.7574	7.7808	8.1813
GS1_SS_18146_10617	SCRLAD1104H03.g	.	.	.	RecName:Serine/arginine repetitive matrix protein 1; AltName:Plenty-of-prolines 101	7.5222	7.6678	8.3202	9.1115	8.7065	8.7017
GS1_SS_20779_12591	SCQGSB1143F08.g	.	.	.	RNA polymerase II C-terminal domain phosphatase-like 3 OS=Arabidopsis thaliana GN=CPL3 PE=1 SV=2 			6.9874	7.0086		6.7419
GS1_AS_13692_17424	SCQSRT2033A08.g	Signal Transduction	transcription factor	Transcription Factor	WRKY	7.1105	7.2407	7.7755	6.6014	7.7939	6.466
GS1_AS_13697_06822	SCQSRT2033E04.g	Unknown	Uncharacterized	.	.	6.4886	6.8919	7.1502	6.8777	7.2502	7.4428
GS1_AS_18783_02329	SCSBST3098E04.g	Protein metabolism	.	.	Tankyrase-2; TANK2; Tankyrase II; TNKS-2; TRF1-interacting ankyrin-related ADP-ribose polymerase 2; Tankyrase-like protein; Tankyrase-related protein	7.0882	7.0909	6.8444	7.6726		8.3722
GS1_AS_24128_01847	SCVPFL1138B04.g	Cell wall metabolism	Phenylpropanoid biosynthesis	Cell wall	4-coumarate-CoA ligase			7.3549	6.6648		7.8149
GS1_SS_15731_15414	SCQGLB1027C07.g	Protein metabolism	chaperonin	Protein metabolism	Prefoldin subunit 4 (Protein C-1)	12.0591	11.695	13.2096	12.548	13.3328	12.0473
GS1_SS_15735_06448	SCCCRZ3004D05.g	.	.	.	Phosphatidylserine synthase 2; PtdSer synthase 2; PSS-2; Serine-exchange enzyme II	9.4218	9.5734	10.2585	11.6183	10.4554	12.4538
GS1_SS_15717_01454	SCCCRT1002H09.g	Others	.	.	Cellular nucleic acid-binding protein; CNBP; Zinc finger protein 9	9.2884	10.0112	11.0256	11.2477	11.0882	11.006
GS1_SS_15718_11247	SCSFLR2009H08.g	.	.	.	RecName:Methyl-CpG-binding domain-containing protein 1; Short=AtMBD1; Short=MBD01; AltName:Methyl-CpG-binding protein MBD1	11.1048	10.8824	12.2481	12.325	12.2304	11.7953
GS1_SS_15719_13964	SCEZRZ3019H07.g	Transport	antiporter	.	Uncharacterized transporter C4B3.13	13.082	13.9771	17.5562	14.674	14.6873	15.928
GS1_SS_15722_14434	SCEZRZ3100F05.g	Carbohydrate metabolism	Sucrose/trehalose/sorbitol and other mono/oligosaccharides	Cell wall	Alpha-L-arabinofuranosidase			8.3231	8.4046	7.6858	8.789
GS1_SS_15723_17895	SCSGRZ3063H10.g	.	.	Protein kinase	Undefined- unclassified			7.6646	7.6511		7.3004
GS1_SS_15724_15503	SCEPCL6018F02.g	AminoAcid and nitrogen metabolism	synthase	Amino acid metabolism	tRNA synthetase class II	11.5373	10.8896	14.3699	12.2015	12.4119	11.8563
GS1_SS_15728_13382	SCEZRZ3101E10.g	.	.	.	.	10.3356	10.5851	11.7381	11.0507	11.5737	10.2684
GS1_AS_13660_21359	SCMCRT2107G02.g	.	.	Amino acid metabolism	aspartate-semialdehyde dehydrogenase precursor	6.6245		6.87	6.8206		7.0926
GS1_AS_13663_20137	SCMCRT2108A07.g	Unknown	no matches	No matches	.	9.9032	8.5866	7.6148	8.1585	10.3282	6.9626
GS1_SS_15683_05041	SCEZRZ3088D08.g	Unknown	no matches	.		6.5328	7.1465	6.8898	6.7655		7.3789
GS1_SS_15685_12910	SCCCRT1003A01.g	Unknown	Uncharacterized	.	Protein VERNALIZATION INSENSITIVE 3	13.0377	13.4683	15.6294	15.1923	14.6061	15.5195
GS1_SS_15694_00309	SCBGAM1093B03.g	.	.	.	RecName:Protein vip1	9.633	9.7451	10.9521	11.4157	11.3224	12.1191
GS1_SS_15697_00727	SCQGAM2026A03.g	.	.	.	.	8.3826	8.4686	9.2961	9.6576	8.9478	9.6395
GS1_SS_15675_17118	SCCCCL3080C05.b	.	.	Protein metabolism	Aspartyl aminopeptidase-like protein	11.7899	11.5883	13.2024	14.1111	12.7355	14.0008
GS1_SS_15678_10629	SCACCL6010H03.g	.	.	.	Ubiquitin carboxyl-terminal hydrolase 27; Ubiquitin thioesterase 27; Ubiquitin-specific-processing protease 27; Deubiquitinating enzyme 27; AtUBP27	8.9505	9.4626	10.2183	11.6496	10.5306	11.9808
GS1_SS_15679_05046	SCVPCL6061B12.g	Unknown	zinc-binding protein	.	Uncharacterized RING finger protein C2F3.16			8.422	13.0902	9.8676	15.2786
GS1_SS_15681_12496	SCAGLR1021C01.g	.	.	.	Exonuclease domain-containing protein 1	12.4349	12.4329	14.1346	13.7254	13.9155	13.6411
GS1_SS_15713_10279	SCRFHR1007F04.g	Signal Transduction	calmodulin-binding	.	Probable calcium-binding protein CML32 (Calmodulin-like protein 32)	10.738	10.7371	13.2677	11.6937	12.5914	10.5704
GS1_SS_15714_03980	SCEZRZ3099H05.g	Unknown	uncharacterized	.	RecName:Vegetative cell wall protein gp1; AltName:Hydroxyproline-rich glycoprotein 1; Flags: Precursor	12.698	12.8766	13.9354	14.3012	13.8603	14.8333
GS1_SS_15715_13770	SCEPRT2043F09.g	Others	uncharacterized	.	Putative protease Do-like 14	9.4022	9.3605	10.3665	11.1153	10.6131	11.1919
GS1_SS_15700_09396	SCEZRZ3098G08.g	Unknown	no matches	.		7.1274	7.1507	8.0957	8.2043	8.0367	8.4348
GS1_SS_15704_10140	SCEZRZ3099A11.g	.	.	.	RecName:Proline-rich receptor-like protein kinase PERK2; AltName:Proline-rich extensin-like receptor kinase 2; Short=AtPERK2; AltName:Somatic embryogenesis receptor kinase-like protein	8.5514	8.3703	7.9014	9.0568	8.4871	9.6966
GS1_SS_15705_09099	SCEZRZ3099A12.g	.	.	.	Copine-3; Copine III			7.8596	8.0914	6.8851	9.0778
GS1_SS_15709_02221	SCEZRZ3099E07.g	Unknown	uncharacterized	.	.	10.209	10.6544	11.9072	11.9457	11.3348	11.6482
GS1_SS_15629_19763	SCRUHR1075F06.g	.	.	Small GTPases	RecName:Serine/arginine repetitive matrix protein 1	8.3046	8.2599	9.2492	9.5803	10.6663	8.1887
GS1_SS_18077_08194	SCVPRZ2040B11.g	.	.	.	Intersectin-1; SH3 domain-containing protein 1A; SH3P17	12.3869	12.1067	12.8366	14.0062	13.3393	13.9755
GS1_SS_15631_15749	SCEZRZ3053B06.g	Signal Transduction	kinase/phosphatase	Protein kinase	Undefined	9.9383	8.9757	11.3054	8.704	10.7086	7.4869
GS1_SS_18080_10161	SCJFRZ2014H04.g	.	.	.	Adrenodoxin-like protein, mitochondrial; Ferredoxin-1-like protein;	12.3739	12.46	13.8643	13.9128	13.7815	13.8126
GS1_SS_15632_00826	SCRFLB1053B09.g	.	.	.	6-phosphogluconate dehydrogenase, decarboxylating	9.3027	8.8956	12.0917	10.4912	10.7	9.7824
GS1_SS_18082_18658	SCRFST1041E03.g	.	.	Protein metabolism	Pitrilysin			7.8754	7.0554		6.8994
GS1_SS_18083_10148	SCRFST1041F07.g	.	.	.	Transmembrane protein 184C; Transmembrane protein 34	9.7576	10.0002	10.2014	11.973	10.7895	12.4658
GS1_SS_15634_17605	SCUTLR1058G10.g	.	.	Ubiquitination	E1	11.4303	11.1564	12.9099	12.5569	12.4414	12.1075
GS1_SS_15636_15445	SCMCRZ3064C02.g	.	.	No matches	.		6.8284	8.4486	7.985	8.0548	8.6618
GS1_SS_18068_00686	SCQSST1040D05.g	Others	uncharacterized	.	Protein FAM136A	7.6956		9.7237	8.123	8.1149	7.8332
GS1_SS_18069_18005	SCSGLR1045D04.g	.	.	Cell cycle	Anaphase promoting complex subunit 7 (APC7) (Cyclosome subunit 7)	8.6893	8.7317	10.0689	9.382	9.574	9.0324
GS1_SS_15619_21613	SCEZLB1005A04.g	.	.	Protein metabolism	General control of amino acid synthesis protein 5-like 2 (EC 2.3.1.48) (Histone acetyltrans	10.8431	10.7176	12.5467	12.615	11.9864	12.4621
GS1_SS_15620_05080	SCEQRT2025D06.g	.	.	.	Pyruvate dehydrogenase E1 component subunit beta	13.1932	13.4199	15.0818	14.5266	14.8638	13.8433
GS1_SS_18071_10422	SCQSST1040H08.g	.	.	.	RecName:Leucine-rich repeat extensin-like protein 3; Short=AtLRX3; Short=LRR/EXTENSIN3; AltName:Cell wall hydroxyproline-rich glycoprotein; Flags: Precursor			7.0355	6.5244		6.6649
GS1_SS_18074_13076	SCQSRT2031D09.g	Others	uncharacterized	.	TD and POZ domain-containing protein 4	11.672	11.606	12.9735	12.2473	12.9353	11.031
GS1_SS_15625_18637	SCMCRT2105E09.g	.	.	Protein metabolism	Chloroplast ribosomal protein L1 (At3g63490/MAA21_120)	14.8383	15.2389	15.7405	17.6797	16.5487	17.0186
GS1_SS_18075_00106	SCRFST1041B05.g	.	.	.	STAM-binding protein-like	12.5537	12.6457	13.2092	14.1546	13.3625	13.5464
GS1_SS_15626_14328	SCEZRZ3052G08.g	.	.	.	Katanin p80 WD40 repeat-containing subunit B1 homolog 1	11.4983	12.066	12.9165	13.9902	13.145	13.6056
GS1_AS_13630_19458	SCMCRT2104G09.g	Carbohydrate metabolism	transferase	Carbohydrate metabolism	Cis-zeatin O-glucosyltransferase	7.7941	8.3657	8.888	9.7136	9.2985	9.9368
GS1_SS_18100_05502	SCAGSB1087H11.g	Unknown	.	.	.	8.896	8.5917	10.2988	9.9902	10.0247	9.2235
GS1_SS_15652_18424	SCEZRZ3095D02.g	.	.	Pathogenicity	R-gene			8.8952	8.9805	7.8041	8.2134
GS1_SS_15657_14012	SCCCLR1001H03.g	Unknown	uncharacterized	.	.	10.5332	10.266	11.2387	11.0741	11.7712	11.2912
GS1_SS_18101_08806	SCRLFL1010H02.g	Others	methyltransferase/intera̤̣o ptn/ptn	.	Histone-lysine N-methyltransferase, H3 lysine-9 specific SUVH4; Histone H3-K9 methyltransferase 4; H3-K9-HMTase 4; Suppressor of variegation 3-9 homolog protein 4; Su(var)3-9 homolog protein 4; Protein KRYPTONITE; Protein SET DOMAIN GROUP 33	7.4354	7.512	9.6493	10.3421	9.0777	9.9705
GS1_SS_18103_17277	SCEQHR1079E11.g	Protein metabolism	peptidase	Protein metabolism	Cell division protein FtsH	10.4529	10.1867	12.6978	11.3421	11.2672	11.2443
GS1_SS_15662_03844	SCCCCL1001H10.b	Unknown	Uncharacterized	.	.	9.1902	9.2615	10.091	10.1592	9.8634	9.7695
GS1_SS_15665_06471	SCJFRZ3C01H11.g	Unknown	kinase/phosphatase	No matches	Nucleoside diphosphate kinase 2, chloroplastic; Nucleoside diphosphate kinase II; NDP kinase II; NDPK II; NDK II;	11.9472	12.2414	14.2285	12.015	14.201	12.1549
GS1_SS_18106_11993	SCCCRT1004H04.g	Unknown	uncharacterized	.	RecName:Atherin; AltName:Sterile alpha motif domain-containing protein 1; Short=SAM domain-containing protein 1	12.0143	12.3159	15.2395	16.0875	14.3633	16.8457
